Character Name,Scene ID,Setting Name (Location),Action Summary,Anchor Quote
İhsan,Ch01_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,"İhsan exits the Harbiye Ministry as a polished, elegant officer and meets up with Cemal and Peyami.",Yalnız Nezâret'ten çıkan ve bize doğru gelen genç ve şık bir zâbiti beklemek için durduk.
Binbaşı Cemal,Ch01_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,Binbaşı Cemal waits in front of the Harbiye Ministry to greet İhsan as he exits.,Yalnız Nezâret'ten çıkan ve bize doğru gelen genç ve şık bir zâbiti beklemek için durduk.
Peyami Bey,Ch01_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,"Peyami Bey stands with Cemal outside the Harbiye Ministry, waiting to meet İhsan.",Harbiyye Nezâreti'nin önüne gelince daha ileri gitmek istemedi.
Peyami Bey,Ch01_Mercan,İstanbul: Fatih: Mercan,Peyami Bey experiences intense fear and physical weakness during a sudden British airstrike as they walk down Mercan.,"Arkamı bir dükkâna dayadığımı, dizlerimin, arka kemiğimin pişmiş paça gibi yılıştığını, döküldüğünü duydum."
Binbaşı Cemal,Ch01_Mercan,İstanbul: Fatih: Mercan,Binbaşı Cemal suggests walking down Mercan and shows exceptional composure and helpfulness when the British planes start dropping bombs.,"Haydi Mercan'dan inelim Peyami, dedi."
İhsan,Ch01_Mercan,İstanbul: Fatih: Mercan,"İhsan calmly navigates the deadly chaos of the British bombardment in Mercan, assisting the wounded amid the dust and destruction.","Cemal ile İhsan sakin. Biri kadının çocuğunun yanına diz çökmüş, öteki sıhhiye sedyesine yaralı hamalı koydurmak için yardım ediyordu."
İhtiyar Ermeni Kadını,Ch01_Mercan,İstanbul: Fatih: Mercan,"An elderly Armenian woman is killed or severely injured during the British air raid in Mercan, lying with her eyes rolled back on the pavement.","Beyaz saçlı, siyah esvaplı bir ihtiyar Ermeni kadını, yarısı yaya kaldırımın, yarısı şosenin üstünde, gözleri dönmüş, yatıyordu."
Esmer Hamal,Ch01_Mercan,İstanbul: Fatih: Mercan,A dark-skinned porter is struck during the bombing and falls wounded next to the Armenian woman with his chest covered in blood.,"Açık, kıllı esmer göğsü kan içinde bir hamal onun yanına düşmüştü."
İhsan,Ch01_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı,İhsan invites Peyami and Cemal to drink tea at Löbon in Beyoğlu after surviving the bombardment.,"Tünel'in öbür tarafında İhsan: — Löbon'da bir çay içelim, diye bizi davet etti."
Binbaşı Cemal,Ch01_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı,Binbaşı Cemal declines the tea due to his aching old wound but joins the others for dinner and drinks at Tepebaşı.,Hakikat o akşam Beyoğlu'nda yemek yedik ve Tepebaşı'da barda eğlendik ve gece sarhoşa yakın bir hâle döndük.
Peyami Bey,Ch01_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı,"Peyami Bey enjoys dinner, bar entertainment, and heavy drinking in Tepebaşı with his two military companions.",Hakikat o akşam Beyoğlu'nda yemek yedik ve Tepebaşı'da barda eğlendik ve gece sarhoşa yakın bir hâle döndük.
İhsan,Ch01_Sirkeci_Salon,İstanbul: Fatih: Sirkeci: Cemal's Favorite Salon,İhsan frequently joins Peyami and Cemal at a traditional salon in Sirkeci to share raki and conversation despite preferring Löbon.,"Löbon'u tercih etmekle beraber o da ekseri bizimle geliyor, Cemal'in sevdiği bir Sirkeci salonunda oturuyor, rakı içiyoruz."
Binbaşı Cemal,Ch01_Sirkeci_Salon,İstanbul: Fatih: Sirkeci: Cemal's Favorite Salon,Binbaşı Cemal hosts his friends at his favorite Sirkeci salon where they drink raki together.,"Löbon'u tercih etmekle beraber o da ekseri bizimle geliyor, Cemal'in sevdiği bir Sirkeci salonunda oturuyor, rakı içiyoruz."
Peyami Bey,Ch01_Sirkeci_Salon,İstanbul: Fatih: Sirkeci: Cemal's Favorite Salon,"Peyami Bey drinks raki at a salon in Sirkeci alongside Cemal and İhsan, enjoying their camaraderie.","Löbon'u tercih etmekle beraber o da ekseri bizimle geliyor, Cemal'in sevdiği bir Sirkeci salonunda oturuyor, rakı içiyoruz."
Binbaşı Cemal,Ch01_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,"Binbaşı Cemal walks across the Galata Bridge with Peyami and İhsan after drinking, and later crosses paths with İhsan's political delegation on the bridge.","Sonra konuşarak, gülerek Köprü'yü beraber geçip gidiyoruz."
İhsan,Ch01_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,"İhsan crosses the bridge with his companions, and later shares a silent, subtle smile with Cemal when their competing propaganda groups pass each other.","Ekseri öteki İstanbul hanımlarını sefarete götüren İhsan, Cemal'i, Salime Hanım'ın rakip heyetiyle görür; iki genç karşı karşıya gelince, ikisinin de dudaklarında ince bir tebessüm hâsıl olur."
Peyami Bey,Ch01_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,Peyami Bey crosses the Galata Bridge happily in the company of his two friends.,"Sonra konuşarak, gülerek Köprü'yü beraber geçip gidiyoruz."
Peyami Bey,Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,"Standing by the Beşiktaş coast, Peyami Bey experiences a sense of exclusion and profound envy for the sacred military sacrifice shared by his friends as they watch the Allied warships.","Ben, o an kendimi yabancı ve mukaddes bir dinin münkiri hissettim."
Binbaşı Cemal,Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,"Cemal looks out at the Bosphorus from the Beşiktaş coast, expressing bitter grief over the enemy warships freely entering the waters where thousands of Turks had died to stop them.","Çanakkale'de bunlar girmesin diye saatte on bin Türk'ün şehit düştüğü harbler yaptık, dedi."
İhsan,Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,"İhsan coldly observes the foreign warships passing the Beşiktaş palace, commenting dryly on their arrival despite previous defenses.",İhsan bârid ve sakin: — Yine girdiler... dedi.
Anadolu Neferi,Ch01_Besiktas_Coast,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,"A tall, battle-worn Anatolian soldier holding hands with İhsan and Cemal stands with them at the Beşiktaş shore, epitomizing their shared patriotic spirit.","Birdenbire döndük, paçaları lime lime yarım kunduralı, göğsünde harb madalyasının yırtık bir kordelâsı, uzun heyulâ gibi bir Anadolu neferi..."
İhsan,Ch01_Darulfunun_Turk_Ocagi,İstanbul: Fatih: Darülfünun / Türk Ocağı,İhsan dedicates himself to the youth-led propaganda efforts organized at the Darülfünun salon and the Türk Ocağı.,"Bütün Darülfünun gençler, birçok zâbit, bütün Türk Ocağı bununla meşgul. İhsan, Cemal, ben hep bu işteyiz."
Binbaşı Cemal,Ch01_Darulfunun_Turk_Ocagi,İstanbul: Fatih: Darülfünun / Türk Ocağı,Cemal participates actively alongside other officers and students in the national propaganda campaigns centered at the Türk Ocağı and Darülfünun.,"Bütün Darülfünun gençler, birçok zâbit, bütün Türk Ocağı bununla meşgul. İhsan, Cemal, ben hep bu işteyiz."
Peyami Bey,Ch01_Darulfunun_Turk_Ocagi,İstanbul: Fatih: Darülfünun / Türk Ocağı,Peyami Bey lends his language skills and effort to the patriotic propaganda initiatives launched at the Türk Ocağı and Darülfünun.,"Bütün Darülfünun gençler, birçok zâbit, bütün Türk Ocağı bununla meşgul. İhsan, Cemal, ben hep bu işteyiz."
İhsan,Ch01_Foreign_Embassies,İstanbul: Beyoğlu: Yabancı Sefaretler,İhsan supports the young women of the patriotic Istanbul propaganda faction by escorting them to the foreign embassies to submit their national pleas.,Sefaretlere giderken biraz yadırgadıkları için hiç olmazsa kapısına kadar İhsan'ın kendilerine refakat etmesini rica ederler.
Peyami Bey,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,Peyami reacts with distress upon hearing the tragic updates from Izmir and carefully tries to protect Cemal's emotional state.,"Yataktan fırladım, indim. Cemal'in kalkıp gelmesinden korkmuş gibi kapıyı kilitledim."
İhsan,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,İhsan arrives early at Peyami's house to deliver the devastating news of Mukbil Bey's death and Ayşe's injuries.,"--- Peyami, dedi, Mukbil Bey'i Yunanlılar parçalamış, oğlu Hasan'a bir kurşun isabet etmiş, ölmüş."
Binbaşı Cemal,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,Cemal falls into a state of quiet and profound grief after learning about the tragedy in Izmir.,"Dudakları sarkmış, gözleri sönmüş, burnunun etrafında ihtiyar çizgiler, uzun kolları dizlerinin yanına düşük, ölü sükûnetiyle oturuyordu."
Peyami'nin Annesi,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,Peyami's mother warmly welcomes Ayşe with hugs and kisses upon her arrival at the Şişli house.,"Annem, Ayşe'nin boynuna sarıldı. Yanaklarından öptü, sonra onu odasına çıkardık ve Cemal ile yalnız bıraktık."
Hizmetçi,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,The maid allows İhsan into the house without announcing him first because of his disheveled and frantic appearance.,"Hizmetçi gelip haber bile vermemişti, yüzü perişandı."
Salime Hanım,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"Salime Hanım pays a visit to the house, making highly critical remarks about the political leadership and checking up on Ayşe.","Selâmlaştıktan sonra gözlerinde boyu kadar yüksek bir nazarla Ayşe'nin başına baktı: --- İttihâdcıların günahını böyle masum kadınlar ödüyor, dedi."
Mister Cook,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"Mister Cook acts with arrogance and condescension during the meeting in Şişli, pushing the idea of British colonial control over Turkey.","Gerçi bu zor işi İngiltere kabul eder mi bilmem, fakat sizin için başka türlü kurtuluş var mı?"
Miralay Haşmet Bey,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"Miralay Haşmet Bey sits quietly and proudly, explaining the purpose of their meeting and rejecting foreign interference.","Miralay Haşmet Bey, şakakları ağarmış sert asker başıyla dimdik oturuyor, bir paşa ""Wilson Prensipleri""nden bahsediyor..."
Wilson İlkelerinden Bahseden Paşa,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"An unnamed general participates in the gathering in the salon, raising discussions regarding the Wilson Principles.","Miralay Haşmet Bey, şakakları ağarmış sert asker başıyla dimdik oturuyor, bir paşa ""Wilson Prensipleri""nden bahsediyor..."
İhtiyar Sabri Paşa,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,The old Sabri Paşa joins the surrounding military officers in offering his loyalty and sword to Ayşe's national cause.,"Haşmet Bey ve ihtiyar Sabri Paşa da dahil olduğu hâlde, İzmir Kızı'na kılıçlarını vakf ediyorlardı."
Ayşe,Ch02_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"Ayşe forcefully rebukes Mister Cook's colonialist attitude, recounting the horrific scenes she witnessed during the invasion of Izmir.","Siz bizden af talep ediniz. Dün mütareke yaptınız, dün silâhlarımızı bize bıraktırdınız."
Peyami Bey,Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,"Peyami waits on the harbor quay, observing the mocking gestures of the local minorities while waiting for Ayşe's ship.","Ben vapura çıkmadım. Rıhtıma dayandım; şapkalı palikaryaların kahkahalarını, alaylarını içimde katılaşan bir şeyle seyrederek bekledim."
Binbaşı Cemal,Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,Cemal goes to the harbor with Peyami to meet and receive Ayşe from the ship.,Perşembe sabahı Cemal ile beraber Ayşe'yi vapurdan almaya gittik.
Ayşe,Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,"Ayşe walks down the quay with a bandaged arm, heavily veiled in black mourning clothes.",Cemal'in yanında kolu bir bağ içinde simsiyah örtülü bir kadın.
İhsan,Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,"İhsan maintains a distance at the harbor, ensuring he is present to watch over the group without immediately intruding.",Kalabalığın arasında İhsan uzaktan gözüme ilişti. Bizi görmemiş gibi uzakta duruyordu.
İhsan,Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,"İhsan arranges a carriage for the group and greets Ayşe with deep respect, kissing her hand like an old Ottoman subject.",İhsan arabacının kapısını açtığı bir kupayı gösterdi. Çekilmek istedi; fakat Cemal onu görmüştü.
Arabacı,Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,The carriage driver's vehicle is halted at the bridge as İhsan coordinates transport for the arrivals.,İhsan arabacının kapısını açtığı bir kupayı gösterdi.
Peyami Bey,Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,Peyami is stopped by a hand pulling him toward a carriage that İhsan had cleverly managed to secure at the bridge.,"Köprü'nün başında arkamdan bir el, kalabalığın arasına nasıl çekilmiş olduğuna hayret ettiğim bir araba önünde beni durdurdu."
Binbaşı Cemal,Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,Cemal stops İhsan from leaving and introduces him warmly to Ayşe.,"Sesi biraz titreyerek: --- İhsan, ne kaçıyorsun, kardeşim? Ayşe, arkadaşım İhsan, diye birbirlerine takdim etti."
Ayşe,Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,Ayşe blindly extends her hand to İhsan as they are introduced to each other at the bridge.,"Yemin edebilirim ki İhsan'a, Ayşe'nin gölgeli gözleri görmeden baktı ve görmeden beyaz elini uzattı."
Ayşe,Ch02_Osmanbey_Tram_Station,İstanbul: Şişli: Osmanbey Tramvay İstasyonu,"Ayşe walks silently with her arm in a sling, representing the national tragedy to those accompanying her.",Önümüzde sessiz yürüyen sakat kollu Ayşe'yi ve onun alâmeti olduğu bütün buradan bir millet faciasını düşünüyorduk.
Peyami Bey,Ch02_Osmanbey_Tram_Station,İstanbul: Şişli: Osmanbey Tramvay İstasyonu,"Peyami and his companions board the tram at Osmanbey, surrounded by a remarkable and dense crowd of people.",Bunun için Osmanbey önünde tramvaya binerken kalabalık şayanı dikkatti.
Peyami Bey,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,Peyami witnesses the true face of the weeping and suffering Turkish nation gathered for the historic rally.,O gün asıl Türkiye'yi ben ilk defa gördüm.
Binbaşı Cemal,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,Cemal expresses a passionate wish that the enemy airplanes would drop bombs so that they might seal their collective oath in blood.,"Cemal: --- Ah, dedi, keşke bombalarını atsalar ve bu günü, bu kelimesiz ahdimizi kanımızla mühürlesek."
Ayşe,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,Ayşe stands next to Cemal and weeps bitterly under the raw emotion of the rally and the national flags.,Ayşe'nin de Cemal ile yanımda yüksek sesle ağladığını duydum ve döndüm.
Sultanahmet'te Ağlayan Dişsiz İhtiyar,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,"An old toothless man cries aloud in despair, leaning on the garden railings of Sultanahmet with tears streaming down his face.","Sultanahmet bahçesinin parmaklıklarına dayanmış [bir ihtiyar] dişsiz ağzı açık, fersiz gözlerinden, sürülmüş tarla gibi buruşan yanaklarına akan gözyaşlarıyla beraber bağıra bağıra ağlıyordu."
Bir İki Fransız,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,A couple of French citizens are moved by the revolutionary atmosphere and run to join the ranks of the wounded Turkish veterans.,"Kalabalığın içinde harb borusu çalınınca iplerini kırıp koşan asil harb atları gibi ihtilâl havasını koklayan bir iki Fransız, siyah millet bayrağının altına..."
Mehmet Emin Bey,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,"Mehmet Emin Bey stands at the podium like a national saint, deeply moving the surrounding soldiers with his presence.","Yalnız Mehmet Emin Bey'in beyaz başını, millî bir aziz gibi, bir evliya gibi seçtim."
Yüzbaşı Hayri,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,Officer Hayri and his comrades join Peyami's group as the massive crowd slowly flows through the streets of Istanbul.,"Parka giden geniş caddeden o mehîb insan akıntısı ile biz de akarken Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler."
Yüzbaşı Salim,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,"Officer Salim joins the group on the way back from the protest, his face reflecting the shared national hope.","Parka giden geniş caddeden o mehîb insan akıntısı ile biz de akarken Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler."
Yüzbaşı Ahmet Selim,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,"Officer Ahmet Selim joins the walking party, showing deep solidarity with the suffering Ayşe.","Parka giden geniş caddeden o mehîb insan akıntısı ile biz de akarken Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler."
Yaralı Türk Askerleri,Ch02_Sultanahmet_Ayasofya,İstanbul: Fatih: Sultanahmet: German Fountain,"Wounded and disabled veteran soldiers march with quiet dignity, showing their emotional investment in the rally's cause.","Bunların hep malûl asker olduklarını, kiminin tek bacaklı, koltuk değnekli, kiminin bir kolu kesik, kiminin iki gözü kapanmış topal bir arkadaşa tutunarak yürüdüklerini gördüm."
Peyami Bey,Ch03_Ankara,Ankara,"Peyami remembers the cold days in Ankara and recalls his memories of the hot, weary summer days in Istanbul when he would visit Ayşe.","Şimdi Ankara'nın bu soğuk günlerinde İstanbul'daki son yazın ağır ve meşum günlerinin sıcaklığını, yorgunluğunu duyuyorum."
Peyami Bey,Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,Peyami listens to his mother's concerns regarding Ayşe's presence in their house before Ayşe enters the room.,"Ben, ""Anne!"" diye başlamak isterken kapı açıldı. Ayşe girdi."
Peyami Bey,Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,Peyami climbs the hill every evening after leaving his office to visit Ayşe at her humble residence in Gedikpaşa.,"Her gün daireden çıkınca Bâb-ı Âli'ye tırmanıyor, Gedikpaşa'ya, Ayşe'yi ziyârete gidiyorum."
Peyami Bey,Ch03_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,Peyami walks with İhsan and Haşmet Bey towards Beyazid and notices Haşmet Bey staring anxiously at the Ministry of War.,Haşmet Bey'in yüzü Beyazid'e gelirken çok endişeli göründü. İkimizin de elini sıkarken Harbiyye Nezâreti' ne gözleri dalmıştı...
Peyami Bey,Ch03_Sirkeci_Tramway,İstanbul: Fatih: Sirkeci: İstanbul Lokantası,Peyami boards the tramway with İhsan after parting ways with Haşmet Bey.,İhsan'la biz beraber tramvaya bindik.
Peyami Bey,Ch03_Istanbul_Restaurant,İstanbul: Sirkeci: İstanbul Lokantası,Peyami suggests that he and İhsan dine together at the Istanbul Restaurant.,O hâlde İstanbul Lokantası'na gidelim.
Peyami Bey,Ch03_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,Peyami rides the tram over the Galata Bridge and observes the sailboat masts on the dark waters of Haliç with İhsan.,Tramvay çan çan öterek Köprü'nün ışık hatları arasından kayarken İhsan son defa Haliç'in karanlık suları üstünde çalkalanan yelken kayıklarının yaprakları dökülmüş çıplak ağaçlara benzeyen direklerine bakıyordu.
Peyami Bey,Ch03_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı Bahçesi,"Peyami points out the lively, music-filled garden in Tepebaşı to İhsan and suggests they spend more time together before heading home.","Tepebaşı'nın önünde mızıka ile hayatla taşan bahçeyi İhsan'a gösterdim: — İstersen eve dönmeyelim; saat daha on bir, dedim."
İhsan,Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,İhsan sits with Peyami's mother and talks to Ayşe about Mister Cook receiving a bribe from the government.,"İhsan: — Ayşe Hanım, dedi. Sizin ürküttüğünüz Mister Cook'a Hükûmet iki bin lira vermiş, bu sırf bizim aleyhimizde yazmaması için hakkısükût."
İhsan,Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,"İhsan regularly spends his evenings at Ayşe's house in Gedikpaşa, quietly sitting in an armchair and drinking tea.",Temiz masası üzerinde çay semaveri daima tüter ve masanın yanındaki koltuğu her akşam işgal eden adamı da zihnimin gözünde Bâb-ı Âli'nin kapısından itibaren görürüm. O İhsan'dır...
İhsan,Ch03_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,İhsan walks with Peyami and Haşmet Bey near the Ministry of War as they prepare to take a tram.,Haşmet Bey'in yüzü Beyazid'e gelirken çok endişeli göründü. İkimizin de elini sıkarken Harbiyye Nezâreti' ne gözleri dalmıştı...
İhsan,Ch03_Sirkeci_Tramway,İstanbul: Fatih: Sirkeci: İstanbul Lokantası,"İhsan boards the tram with Peyami in silence, appearing to be deeply distressed.",İhsan'la biz beraber tramvaya bindik.
İhsan,Ch03_Istanbul_Restaurant,İstanbul: Sirkeci: İstanbul Lokantası,"İhsan dines with Peyami, drinks wine, and makes a bitter remark about foreign soldiers representing a supposedly civilized army.","İhsan biraz fazla şarap içmesine rağmen susuyor ve düşünüyordu. Bir aralık zencilere gözü ilişti. Acı bir merhametle güldü: — Türk milletini terbiyeye gelen medenî ordu, dedi."
İhsan,Ch03_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,"İhsan gazes at the dark, wave-tossed sailboat masts on the Haliç as the tram crosses the Galata Bridge.",Tramvay çan çan öterek Köprü'nün ışık hatları arasından kayarken İhsan son defa Haliç'in karanlık suları üstünde çalkalanan yelken kayıklarının yaprakları dökülmüş çıplak ağaçlara benzeyen direklerine bakıyordu.
İhsan,Ch03_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı Bahçesi,"İhsan passes by Tepebaşı on the tram but refuses to stay out late, expressing his inability to tolerate seeing foreign uniforms.","— Ecnebi üniforması görmeye bu gece tahammül edemeyeceğim Peyami, Pangaltı'da ineceğim."
İhsan,Ch03_Pangalti,İstanbul: Şişli: Pangaltı,"İhsan gets off the tram at Pangaltı, stating his intention to bid farewell to some female friends.","— Ecnebi üniforması görmeye bu gece tahammül edemeyeceğim Peyami, Pangaltı'da ineceğim. Bazı hanım dostlara veda edeceğim, dedi."
Ayşe,Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,"Ayşe enters the salon, shares an intense look of mutual understanding with İhsan, and laughs off Mister Cook's bribe.","Ayşe, İhsan'ı askerlerin yemin ettiği günden sonra ilk defa olarak görüyordu. Birbirlerine doğru geldiler ve birbirlerine baktılar."
Ayşe,Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,"Ayşe moves into a small, two-room house in Gedikpaşa, separating from Peyami's mother after a cold departure.",Ayşe Gedikpaşa'da iki odalı ayrı bir eve taşındı ve annemle oldukça soğuk ayrıldı.
Ayşe,Ch03_Merchant_House_Moda,İstanbul: Kadıköy: Moda'da Bir Tüccarın Evi,"Ayşe recounts her experience teaching lessons at a merchant's house in Moda, where she had to hide her face when Salime Hanım unexpectedly arrived.","Moda'da tüccarların evinde, dedi. Salime Hanım bir İngiliz römorkörüyle gelmez mi? Ev altüst oldu."
Peyami'nin Annesi,Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,Peyami's mother worries about the British watching their house and pressures Peyami to have Ayşe and Cemal find another place to live.,"Açıktan açığa izhar etmemekle beraber, Ayşe'nin ve Cemal'in bizde daha ne kadar kalacaklarını düşünüyor, beni sıkıştırıyordu."
