Scene ID,Setting Name,Latitude,Longitude,Primary Theme,Theme Justification
Ch03_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa: Ayşe'nin Evi,41.0067552,28.9656936,Ideology & Politics,"The scene primarily focuses on discussing the British occupation and planning İhsan's escape to join the nationalist resistance, centering on political threats and revolutionary actions."
Ch03_Peyamis_House_Sisli,İstanbul: Şişli: Peyami'nin Evi,41.0637891,28.9831642,Romance & Tragedy,"The scene's primary emotional focus is the profound and silent connection shared between Ayşe and İhsan upon their reunion, highlighting a strong romantic undercurrent."
Ch04_Peyamis_House_Sisli,İstanbul: Şişli: Peyami's House,41.0637891,28.9831642,Romance & Tragedy,"The scene's primary focus is Peyami's recovery from a severe illness and his urgent, emotionally charged efforts to reconnect with Ayşe through letters and a search, indicating a deep personal connection and the tragedy of their separation."
Ch04_Uskudar,İstanbul: Üsküdar: Seyfi's House,41.0265498,29.0151321,Logistics & Movement,"The scene primarily focuses on Ayşe being guided to safety, hiding in a safe house, Peyami's determined search and reunion, and the coordination of escape plans to Anatolia for nationalist conspirators."
Ch05_Adapazari_Road,Sakarya: Adapazarı: Adapazarı Yolu,40.7726291,30.4038575,Combat & Violence,"The scene's central action revolves around an ambush, a subsequent firefight between a convoy and bandits, and the immediate medical attention for a combat-related injury."
Ch05_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,40.7726291,30.4038575,Ideology & Politics,"The scene centers on a tense debate about the effectiveness of irregular military forces versus a formal army, with Ayşe defending the former as essential for national independence."
Ch05_Geyve,Sakarya: Geyve: İhsan's House,40.5090547,30.2902514,Logistics & Movement,The scene primarily revolves around Peyami and İhsan discussing and arranging Ayşe's train journey and escort to Eskişehir for her protection.
Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,40.5090547,30.2902514,Romance & Tragedy,"The scene details evolving romantic interests and relationships between characters, culminating in the tragic and mourned death of Ahmed Rıfkı, profoundly impacting those connected to him."
Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,40.5090547,30.2902514,Combat & Violence,"The scene centers on Kezban's desperate plea to join military forces to 'fight and serve' and İhsan's order for her to return due to the implied danger of the path ahead, indicating a context of conflict and potential combat."
Ch06_Ikizce,Kocaeli: Kandıra: İkizce,41.0703914,30.1523298,Logistics & Movement,The scene primarily focuses on the characters' difficult journey through the terrain and their subsequent planning to transport thirty carts of hidden ammunition.
Ch08_General_Tent,Konya: Unnamed Subdistrict: İhsan's Tent,37.872734,32.4924376,Combat & Violence,"The scene centers on a desperate warning about a trap and the capture of İhsan, directly addressing an impending or ongoing hostile conflict."
Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,37.872734,32.4924376,Combat & Violence,"The scene centers on the return from a 'retributive campaign' and the revelation that İhsan 'hanged Mehmet Çavuş,' highlighting the direct consequences of violent conflict and justice."
Ch08_Town_Government_House,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,37.872734,32.4924376,Ideology & Politics,"The scene depicts a political prisoner's defiant stance against captors, who attempt to incite a mob to murder him in a government building, highlighting power struggles and ideological conflict."
Ch08_Village_Square,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,37.872734,32.4924376,Combat & Violence,"The scene's primary action involves İhsan and his horsemen being immediately ambushed and surrounded by a hostile crowd upon entering the square, indicating imminent conflict."
Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,39.7765193,30.5288805,Combat & Violence,"The scene depicts the direct, devastating aftermath of warfare in a surgical hospital, focusing on the severe injuries, suffering, and overwhelming medical efforts to care for soldiers affected by combat."
Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,39.7743941,30.519116,Combat & Violence,"The scene vividly depicts the direct impact of war through Cemal's sorrowful recounting of executed comrades and escape from Greek custody, and Ayşe's experience of an airstrike followed by flight."
Ch10_Ankara_Defense_Office,Ankara: Ulus: Müdafaa-i Milliye Dairesi,39.9362064,32.8426798,Logistics & Movement,"The scene focuses on the narrator's desire for deployment and his subsequent assignment as a specialized operative (translator/photographer) to the Western Front, emphasizing the practical arrangements for moving personnel to a combat zone."
Ch10_Branch_Office,Ankara: Polatlı: Şube Binası,39.58567,32.1417303,Ideology & Politics,The narrator's daily work on Greek newspapers and drafting orders in a branch office represents administrative tasks crucial to political strategy and information gathering.
Ch10_Drivers_Tent,Ankara: Polatlı: Şoförler Çadırı,39.58567,32.1417303,Romance & Tragedy,"The drivers explicitly read romantic novels, sing, and joke to maintain high spirits during the battle, using romance as a direct coping mechanism against the tragic realities of war."
Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,39.58567,32.1417303,Logistics & Movement,"The scene details the arrival of a train, the unloading of military supplies and animals, and the organized commanding and movement of troops preparing to depart into the wilderness."
Ch10_Opposite_Slope,Ankara: Polatlı: Karşıki Yamaç,39.58567,32.1417303,Ideology & Politics,"The scene describes high-ranking military and political leaders discussing the war front, indicating a focus on strategic decision-making and the political implications of the conflict."
Ch10_Supreme_Headquarters,Ankara: Polatlı: Alagöz: Başkumandanlık Binası,39.58567,32.1417303,Ideology & Politics,"The scene describes the Commander-in-Chief working through the night at supreme headquarters, indicating a focus on high-level military leadership, governance, and strategic decision-making."
Ch11_Ankara_Station,Ankara: Altındağ: Ankara İstasyonu,39.9362064,32.8426798,Romance & Tragedy,"The scene focuses on the emotional goodbye between İhsan and Sabiha, highlighting her overt affection, the hint of a potential, albeit reluctant, romantic match, and the sadness of their separation."
Ch11_Cousins_House_Ankara,Ankara: Dikmen: Cousin's House,40.0582241,32.0057462,Romance & Tragedy,"The scene centers on İhsan's emotional recovery and temporary happiness derived from pleasant social interaction with his cousin's daughters, providing a respite from a prior 'feverish obsession'."
Ch11_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,39.7765193,30.5288805,Romance & Tragedy,"The scene depicts Ayşe providing tender, comforting care to a vulnerable İhsan on an operating table, emphasizing their personal connection."
Ch11_Malli_Station,Ankara: Polatlı: Mallı Station,39.58567,32.1417303,Romance & Tragedy,"The scene focuses on İhsan's eager search for his fiancée Ayşe and her request for discretion regarding their engagement, highlighting their emotional connection."
Ch11_Metris_Tepe,Bilecik: Bozüyük: Metris Tepe,39.9042599,30.0372781,Combat & Violence,"The scene directly describes İhsan being shot during the Second Battle of İnönü, highlighting a violent act of combat and its immediate, life-threatening consequences."
Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,39.58567,32.1417303,Logistics & Movement,"The scene details Peyami Bey's travel through a village and his interaction with a sentry to ascertain the Chief of Staff's location, which is a matter of navigation and movement."
Ch11_Village_Road,Ankara: Polatlı: Köy Yolu,39.58567,32.1417303,Romance & Tragedy,"The scene centers on emotional discussions between Ayşe and İhsan about their future and a past figure, culminating in İhsan's profound despair and torment, indicating a focus on romantic entanglement and emotional suffering."
Ch11_Village_Valley,Ankara: Polatlı: Köy Yakınındaki Vadi,39.58567,32.1417303,Logistics & Movement,"The scene describes Peyami riding towards military headquarters and observing the physical elements of a military encampment, highlighting movement and the organizational aspects of a campaign."
Ch12_Ambulance_Mountain_Road,Ankara: Polatlı: Karadağ: Dağ Yolu,39.58567,32.1417303,Logistics & Movement,"The scene primarily focuses on Peyami transporting the wounded İhsan in an ambulance down a mountain road, highlighting the logistical challenge of moving an injured person."
Ch12_Basri_Village_Room,Ankara: Polatlı: Basri Village: Village Room,39.58567,32.1417303,Romance & Tragedy,"The scene depicts profound grief and loss among the characters, and Peyami's vow is explicitly tied to devotion to Ayşe's memory, indicating a tragic personal connection."
Ch12_Ihsans_Tent,Ankara: Polatlı: İhsan'ın Çadırı ve Karargâhı,39.58567,32.1417303,Combat & Violence,"The scene depicts a commander's relentless preparation and mental preoccupation with an impending battle and assault, highlighting the direct lead-up to violent conflict."
Ch12_Polatli,Ankara: Polatlı: Karadağ,39.58567,32.1417303,Combat & Violence,"The scene is defined by continuous intense shelling, machine gun fire, explosions, casualties, and a character being wounded in action, directly illustrating the brutal reality of warfare."
Ch12_Rear_Ridges,Ankara: Polatlı: Arka Sırtlar,39.58567,32.1417303,Logistics & Movement,"The scene details the organization and rigorous training of new recruits, which is a fundamental logistical task for military readiness and deployment."
Ch12_Regiment_Camp,Ankara: Polatlı: Alay Karargâhı,39.58567,32.1417303,Logistics & Movement,"The scene focuses on military preparations, tactical instructions for an upcoming march, and the movement of regiments, indicating a strong emphasis on the organization and execution of troop deployment."
Ch12_Ridge_Lines,Ankara: Polatlı: Hattı Bala (Sırtlar),39.58567,32.1417303,Logistics & Movement,"The scene primarily details the organized movement of a regiment led by officers, with characters like Peyami Bey performing duties that involve crossing terrain and carrying messages into an active combat zone."
Ch12_Slope_to_Valley,Ankara: Polatlı: Vadiye İnen Meyil,39.58567,32.1417303,Romance & Tragedy,Peyami's crying and dramatic rehearsal of an emotional speech about love for Ayşe directly center the scene on intense romantic feelings and potential sorrow.
Ch12_Valley_After_Ridge,Ankara: Polatlı: Sırtın Ardındaki Vadi,39.58567,32.1417303,Combat & Violence,"The scene describes troops enduring artillery fire and a character expressing excitement about an impending battle, indicating a clear focus on armed conflict."
Ch01_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı,41.0284233,28.9736808,Combat & Violence,"The scene's central actions revolve around the characters coping with the aftermath of a bombing and bombardment, directly referencing their survival and existing injuries from violence."
Ch01_Darulfunun_Turk_Ocagi,İstanbul: Fatih: Darülfünun / Türk Ocağı,41.0131,28.962,Ideology & Politics,"The scene explicitly depicts characters engaging in nationalist propaganda, writing petitions, and organizing, all of which are actions focused on shaping political beliefs and influence."
Ch01_Foreign_Embassies,İstanbul: Beyoğlu: Yabancı Sefaretler,41.0284233,28.9736808,Ideology & Politics,The scene explicitly describes nationalist women delivering political petitions to foreign embassies and highlights rival factions engaging in patriotic propaganda.
Ch01_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,41.0131,28.962,Ideology & Politics,"The scene centers on military officers discussing an armistice at the War Ministry, highlighting political negotiations and strategic implications amidst international tensions."
Ch01_Meserret_Cafe,İstanbul: Fatih: Sirkeci: Meserret Kıraathanesi,41.0144,28.9753,Ideology & Politics,"The scene centers on military officers debating the war, peace negotiations, and political figures like Enver Pasha, highlighting a focus on national strategy and political ideology rather than direct action."
Ch01_Sirkeci_Salon,İstanbul: Fatih: Sirkeci: Cemal's Favorite Salon,41.0144,28.9753,Logistics & Movement,"The scene describes the characters gathering at a specific salon, highlighting their movement to and assembly at this chosen location for their social interaction."
Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,41.0182861,28.9700158,Logistics & Movement,"The scene's primary focus is on İhsan securing a carriage and coordinating transport for the group at the bridge, which directly relates to the logistics of their movement."
Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,41.0228645,28.9740393,Ideology & Politics,"The scene establishes a backdrop of political and ethnic tension through Peyami's observations of Greek soldiers and local minorities, providing context for Ayşe's arrival as a potential victim of ongoing conflict."
Ch03_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,41.02,28.9734,Logistics & Movement,"The scene explicitly describes characters traveling across a bridge on a tram, which directly involves physical movement and transportation within the setting."
Ch03_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,41.0131,28.962,Ideology & Politics,"Haşmet Bey's deep concern while gazing at the Ministry of War and commenting on the nation's destiny directly reflects on matters of state, governance, and the future of the country."
Ch03_Istanbul_Restaurant,İstanbul: Sirkeci: İstanbul Lokantası,41.0150174,28.977962,Ideology & Politics,"The scene primarily depicts the tension between local inhabitants and foreign soldiers, highlighting İhsan's bitter commentary on 'foreign civilization' and its perceived impact, which is a clear ideological and political conflict rather than physical combat or romance."
Ch03_Merchant_House_Moda,İstanbul: Kadıköy: Moda'da Bir Tüccarın Evi,40.9912955,29.0245631,Ideology & Politics,"Salime Hanım's snobbish preference for an English governess over a Turkish teacher, underscored by her arrival on an English tugboat, reveals a conflict of cultural ideologies and societal values."
Ch03_Sirkeci_Tramway,İstanbul: Fatih: Sirkeci: İstanbul Lokantası,41.0144,28.9753,Logistics & Movement,"The scene's primary action involves characters boarding a tram and navigating through the city to decide on a dinner location, directly depicting movement and logistical planning."
Ch04_Adapazari_Road,Kocaeli: Kandıra: Adapazarı Road,41.0703914,30.1523298,Logistics & Movement,"The scene focuses entirely on the characters' journey, their disguises, and the practicalities of moving themselves and their oxcart through a dangerous landscape towards a destination."
Ch04_Ayses_House_Gedikpasa,İstanbul: Fatih: Gedikpaşa: Ayşe'nin Evi,41.0064,28.9644,Ideology & Politics,"The scene illustrates the direct impact of foreign military occupation and political control, including property seizure and the displacement of civilians, highlighting the power dynamics and inter-ethnic tensions of the era."
Ch04_Kandira,Kocaeli: Kandıra: Coastline,41.0703914,30.1523298,Romance & Tragedy,"The scene depicts characters experiencing deep sorrow and shedding tears as they say a final, tearful goodbye to Istanbul, emphasizing loss and emotional distress consistent with tragedy."
Ch05_Kandira,Kocaeli: Kandıra: A Village in Kandıra,41.0703914,30.1523298,Ideology & Politics,"The scene describes the travelers being met by a supportive nationalist detachment, and Ayşe's identity commanding profound respect, indicating a significant political and ideological alignment."
Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),41.0703914,30.1523298,Combat & Violence,"The scene culminates in a tense standoff where the protagonists suspect they are being pursued, hide, and finally encounter their antagonist and his men, directly setting up a confrontation."
Ch06_Geyve,Sakarya: Geyve,40.5090547,30.2902514,Logistics & Movement,"The scene primarily details a grueling six-day journey involving the retrieval, hiding, and nighttime transport of ammunition boxes, emphasizing the practical challenges of moving vital supplies."
Ch06_Ihsans_Tent,Sakarya: Geyve: İhsan'ın Karargâhı,40.5090547,30.2902514,Logistics & Movement,"The scene describes a mission focused on retrieving buried ammunition, which is a core logistical operation involving the movement and supply of military resources."
Ch06_Sakarya_River_Crossing,Sakarya: Geyve: Sakarya Nehri,40.5090547,30.2902514,Logistics & Movement,"The scene's central action involves successfully crossing a river and moving a character covertly to avoid detection, highlighting the practicalities of movement and planning."
Ch06_Training_Ground,Sakarya: Geyve: Talimgâh,40.5090547,30.2902514,Combat & Violence,"The scene focuses on harsh, grueling combat and equestrian drills, weapons instruction, and physical training, all directly related to preparing for violent encounters."
Ch06_Vacant_Sheepfold,Sakarya: Geyve: Sarılar: Boş Ağıl,40.5090547,30.2902514,Logistics & Movement,"The scene details Mehmet Çavuş's recounting of the complex process of smuggling and transporting forty carriages of weapons out of occupied territory, which highlights the strategic planning and execution of moving resources."
Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,40.5090547,30.2902514,Romance & Tragedy,"The scene is dominated by Kezban's intense emotional distress, her secret entries, crying, begging to stay, and clutching İhsan's boots, all pointing to a significant personal tragedy or doomed romantic entanglement."
Ch08_Ruined_Mill,Konya: Sarılar: Harap Değirmen Binası,37.9440334,32.5054789,Combat & Violence,"The scene describes a sudden ambush by hostile villagers attacking horsemen, an angry mob, and cavalrymen falling during the assault, all indicative of direct conflict."
Ch09_Ankara_Defense_Office,Ankara: Ulus: Müdâfaa-i Milliyye Dairesi,39.9362064,32.8426798,Logistics & Movement,"Peyami's endless hours of administrative work at the Ministry of Defense, processing paperwork for the war effort, are centered on the logistical coordination and support necessary for military operations, despite his physical distance from the front lines."
Ch09_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,39.9327342,32.8746726,Logistics & Movement,"The scene focuses on Peyami's contemplation of his physical state and the preparations for his upcoming scheduled surgery at the hospital, which are logistical events."
Ch09_Eskisehir_Station,Eskişehir: Merkez: Eskişehir İstasyonu,39.7765193,30.5288805,Combat & Violence,"The scene focuses on the direct aftermath and physical consequences of warfare, depicting wounded soldiers arriving at the station with injuries and rationing, indicating the impact of combat."
Ch09_Eskisehir_Street,Eskişehir: Merkez: Eskişehir'de Bir Cadde,39.7765193,30.5288805,Logistics & Movement,"The scene primarily describes the organized passage and movement of military troops through a busy street, which directly affects Peyami's ability to navigate and evokes his reaction to their presence."
Ch09_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,39.58567,32.1417303,Logistics & Movement,"The scene primarily focuses on Ayşe's journey via train with wounded soldiers towards Polatlı, emphasizing the movement and transportation of personnel."
Ch10_Ankara_Station,Ankara: Altındağ: Ankara İstasyonu,39.9362064,32.8426798,Logistics & Movement,"The scene describes the narrator departing by train toward the battlefront, which is a clear act of movement and transportation, likely for military purposes."
Ch10_Gokcepinar,Ankara: Polatlı: Gökçepınar Mezarlığı,39.58567,32.1417303,Combat & Violence,"The scene's central element, the offer to bury amputated legs in a cemetery, directly refers to the physical consequences of severe injury, likely sustained from combat or a violent event."
Ch10_Mill_Race,Ankara: Polatlı: Değirmen Harkı,39.58567,32.1417303,Logistics & Movement,"The scene primarily depicts characters traveling through a specific environment, navigating a natural obstacle with animals, and being part of a larger military movement."
Ch10_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane,39.58567,32.1417303,Combat & Violence,"The scene focuses on Peyami Bey's memory of his severed, amputated legs in a mobile hospital, directly stemming from the physical consequences of a violent event."
Ch11_Eskisehir_Station,Eskişehir: Merkez: Eskişehir İstasyonu,39.7765193,30.5288805,Logistics & Movement,"The scene describes a character's departure from a train station, focusing on the act of travel and movement."
Ch11_Polatli,Ankara: Polatlı: Train Compartment,39.58567,32.1417303,Romance & Tragedy,"The scene depicts a reluctant and emotionally charged farewell between İhsan and Ayşe, emphasizing their personal connection and the sadness of their forced separation."
Ch13_Ankara,Ankara: Cebeci: Cebeci Hastahanesi,39.9327342,32.8746726,Logistics & Movement,"The scene provides only general location information (Ankara, a hospital) without any specific character actions, making logistics related to setting the stage the most appropriate theme."
Ch01_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,41.02,28.9734,Ideology & Politics,"The scene's primary action involves characters crossing paths with a 'political delegation' and 'competing propaganda groups,' highlighting underlying ideological differences and interactions."
Ch02_Osmanbey_Tram_Station,İstanbul: Şişli: Osmanbey Tramvay İstasyonu,41.0637891,28.9831642,Ideology & Politics,"The scene depicts characters navigating a tense crowd of differing religious groups while heading to a rally, with one character symbolizing a national tragedy, all pointing to underlying political and ideological tensions."
Ch03_Ankara,Ankara,39.9207759,32.8540497,Romance & Tragedy,"The scene focuses on Peyami's nostalgic memories of his visits to Ayşe's house in Istanbul, indicating a reflection on a past personal relationship."
Ch03_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı Bahçesi,41.0284233,28.9736808,Ideology & Politics,"İhsan's refusal to stay out late is explicitly driven by his inability to tolerate seeing foreign uniforms, indicating a clear political or nationalistic sentiment."
Ch03_Pangalti,İstanbul: Şişli: Pangaltı,41.0637891,28.9831642,Ideology & Politics,"The character's action and declaration are explicitly driven by his inability to tolerate the sight of foreign military uniforms, directly reflecting a political statement or discomfort with the prevailing political situation."
Ch04_Direklerarasi,İstanbul: Fatih: Direklerarası,41.0142,28.9575,Combat & Violence,"The scene explicitly details the 'bloody aftermath' of British soldiers 'bayoneting and shooting' sleeping Turkish guards, making violence the central action and focus."
Ch04_Gedikpasa_Street,İstanbul: Gedikpaşa: Gedikpaşa Tramvay Caddesi,41.0064,28.9644,Ideology & Politics,"The scene vividly illustrates the immediate human consequences of military occupation and national resistance on civilian lives, leading to displacement and distress."
Ch04_Harbiye_Nezareti,İstanbul: Fatih: Harbiye Nezareti,41.0131,28.962,Ideology & Politics,"The scene depicts the direct takeover of a national War Ministry by a foreign army, symbolizing a profound shift in political power, national sovereignty, and the humiliation of the local military."
Ch04_Ihsaniye_Ferry,İstanbul: Üsküdar: İhsaniye Ferry,41.0265498,29.0151321,Combat & Violence,"The scene focuses on characters observing British guns and warships aimed at the city, creating an atmosphere of imminent military threat and potential violence."
Ch04_Istanbul_Airspace,İstanbul: Fatih: İstanbul Semaları,41.0131,28.962,Combat & Violence,"The scene vividly portrays Peyami's hallucination of being relentlessly hunted and chased by enemy planes, highlighting themes of conflict and pursuit."
Ch04_Yusuf_Pasa,İstanbul: Yusufpaşa: House of the Assaulted Girls,41.0116,28.9482,Combat & Violence,"The scene explicitly describes a house being ransacked and local girls assaulted by invading forces, focusing on the immediate aftermath and evidence of violent actions."
Ch05_Anatolian_Villages,Kocaeli: Kandıra: Kandıra Köyleri,41.0703914,30.1523298,Logistics & Movement,"The scene centers on the characters traveling through 'transition route villages' used by refugees and soldiers, highlighting their journey and adaptation to a moving environment."
Ch06_Kandira,Kocaeli: Kandıra: Flatland,41.0703914,30.1523298,Ideology & Politics,"The scene centers on Mehmet Çavuş discussing the revolution and speaking against the Sultan with a patriotic host family, while also receiving intelligence about local factions."
Ch06_Mosque_Square,Kocaeli: Kandıra: İkizce: Cami Meydanı,41.0703914,30.1523298,Logistics & Movement,"The scene focuses entirely on characters riding quickly and navigating a dark village square with urgency, explicitly stating their goal to exit the village quickly."
Ch06_Peyamis_House_Sisli,Sakarya: Geyve: Headquarters,40.5090547,30.2902514,Romance & Tragedy,"Ihsan's protective and caring actions towards Peyami, checking on his health and covering him up, highlight an intimate emotional bond and concern for well-being."
Ch06_Sarilar_Village,Sakarya: Geyve: Sarılar Köyü,40.5090547,30.2902514,Combat & Violence,"The scene focuses on military leadership, past forces, and a vow to avenge a death, directly reflecting themes of warfare and its violent outcomes."
