Scene ID,Setting Name,Narrative Weight,Description,Source File
Ch05_Geyve,Sakarya: Geyve: İhsan's House,High,"Geyve'de İhsan'ın evinde misafir olurlar. İhsan odasını Ayşe'ye verir. Peyami ve İhsan karşı odada konuşur, ardından Peyami Ayşe'nin odasına geçer. Ayşe, İhsan'ın kendisini uzaklaştırmak istemesine öfkelenir ve Eskişehir'e gitmeyi kabul eder. Üçü birlikte gergin bir akşam yemeği yerler.",chapter_05.md
Ch05_Sarilar_Village,Sakarya: Geyve: Doğançay: Sarılar Village,High,"Kafilenin gelişi köyde büyük bir paniğe yol açar, ancak gelenlerin İhsan'ın kuvvetleri olduğu anlaşılınca halk rahatlar. İhsan'a aşık olan köylü kızı Kezban ile Ayşe burada tanışır. | Ayşe burada hastabakıcılık yapar. Ahmed Rıfkı her akşamüstü onu ziyarete gelir; Kezban ise ağaçların arkasından İhsan'ı bekler. İhsan, Ayşe'yi güvenliği için Eskişehir'e göndermeye karar verdiğini burada açıklar. | İhsan, Peyami ve Ayşe, vurulan Ahmed Rıfkı'nın yanına koşarlar. Onu kalbinden vurulmuş, cansız bir şekilde bulurlar. Söğüt dallarından sedye yapıp köye taşırlar. | İmam ve küçük bir cemaat eşliğinde Ahmed Rıfkı toprağa verilir. Ayşe mezarlıkta söğütlerin altında hıçkırarak ağlar.",chapter_05.md
Ch05_Village_Road,Sakarya: Geyve: Doğançay: Sarılar Köyü,High,"Köyden ayrılan kafilenin arkasından koşan Kezban, kendisini de götürmeleri için ağlayarak yalvarır. Ayşe'nin teselli çabasını öfkeyle reddeder. İhsan'ın sert emri üzerine çaresizce köye geri döner.",chapter_05.md
Ch06_Ikizce,Kocaeli: Kandıra: İkizce,High,"Peyami and Mehmet Çavuş struggle through dense, thorny bushes at night as the moonlight fades. | They look down from the ridge and observe a massive fire burning near a white stream in the dark plain. | They enter a clean house belonging to a Circassian host. Peyami meets Saffet Bey under the light, admires his refined yet dangerous character, and they finalize plans to transport the thirty carts of hidden ammunition.",chapter_06.md
Ch08_General_Tent,Konya: Unnamed Subdistrict: İhsan's Tent,High,İhsan recovers from his wounds in his tent while Muhsin Bey and a sentry recount how a disguised Circassian boy (Kezban) ran for six hours to warn them of the trap.,chapter_08.md
Ch08_Ihsans_Tent,Konya: İhsan'ın Çadırı,High,"A feverish Peyami rests in bed. İhsan enters after returning from his three-day retributive campaign, reveals he has hanged Mehmet Çavuş, and begs Peyami to swear an oath never to tell Ayşe about these events.",chapter_08.md
Ch08_Town_Government_House,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,High,"In the dirty courtyard and prison cells, İhsan is held in heavy chains behind iron bars. Mehmet Çavuş attempts to incite the local crowd to break in and murder İhsan before a rescue group arrives.",chapter_08.md
Ch08_Village_Square,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,High,"İhsan leaps over a deep ditch onto the green field, where he and his horsemen are immediately ambushed and surrounded by a hostile crowd.",chapter_08.md
Ch09_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,High,"Peyami meets Ayşe, who is wearing a white apron and black headscarf. They talk about his wound, İhsan, and Cemal. | Ayşe works tirelessly in the surgical hospital. She watches the brave soldiers, cares for the wounded like Hüseyin Çavuş, and witnesses their silent strength. | Ayşe feeds the wounded soldiers on her knees. She records a wounded Sivaslı soldier's address in her notebook, spreading comfort among the men. | During the chaotic evacuation, Ayşe assists the doctor with horrific amputations, holds dying soldiers, and pretends to understand the final silent words of a dying officer. | A feverish, delirious soldier from Ankara escapes his ward, screaming to be taken back to Ankara, before being restrained by medics. | An exhausted Ayşe collapses in tears against a wall. Haşmet Bey finds her, restores her hope, and promises to take her to the active combat front in Polatlı.",chapter_09.md
Ch09_Madam_Tadias_Hotel,Eskişehir: Madam Tadia'nın Oteli,High,"Peyami, Cemal, and Ayşe have dinner together. Cemal speaks about the betrayal of his friends and his escape from Greek custody. Haşmet Bey joins them later, sharing coffee and pastries. | Ayşe lies sick with malaria during the Kütahya War, having vivid hallucinations of hospital work. She wakes up to an airstrike and flees with Madam Tadia.",chapter_09.md
Ch10_Headquarters_Village,Ankara: Polatlı: Alagöz (Karargâh Köyü),High,A small five-to-six house village serving as the Garp Cephesi headquarters where the narrator works and experiences the tense atmosphere of the Sakarya Campaign.,chapter_10.md
Ch10_Ihsans_Tent,Ankara: Polatlı: Alagöz Karargâhı: İhsan'ın Çadırı,High,"The small tent shared by the narrator and Zihni Efendi where they sleep, hear incoming reports, and later joyously pack up on September 9th.",chapter_10.md
Ch10_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,High,The narrator travels with a reserve officer and three regular officers on a train carrying ammunition. | The train cars serving as the second headquarters where the narrator and Zihni Efendi share a dormitory and discuss the narrator's request to transfer to the front line.,chapter_10.md
Ch11_Gokcepinar,Ankara: Polatlı: Gökçepınar,High,"İhsan travels to Gökçepınar and visits Haşmet Bey's headquarters under the guise of military business. He finds Haşmet Bey, Cemal, and Ayşe sitting together by a large fireplace, where he experiences intense jealousy seeing Ayşe's proximity to Haşmet Bey.",chapter_11.md
Ch11_Haymana,Ankara: Haymana: Haymana Camii,High,"Amid heavy rain, mud, and falling shells, İhsan searches for wounded comrades from his corps. | Serving as a crowded casualty clearing station, İhsan discovers Ayşe tirelessly treating horrific wounds. He feels a sense of spiritual reverence and devotion watching her selflessness.",chapter_11.md
Ch11_Ihsans_Tent,Ankara: Polatlı: Alagöz (Tatar Köyü): İhsan'ın Odası,High,"Cemal visits İhsan during fierce fighting, congratulates him on his rumored engagement with Sabiha, and unwittingly reveals that Ayşe heard about it, explaining her coldness on the train. Cemal also mentions Ayşe's care of Haşmet Bey. | Three days after Haymana, the chief doctor of the mobile hospital visits İhsan. İhsan angrily demands that Ayşe be ordered to return from Haşmet Bey's combat division to the mobile hospital.",chapter_11.md
Ch11_Ihsans_Village_Room,Not Found: İhsan'ın Köydeki Odası,High,"Back in the present, İhsan finishes his painful tale, tells Peyami to sleep, and prepares to return to his regiment at dawn. Peyami falls asleep watching him.",chapter_11.md
Ch11_Madam_Tadias_Hotel,Eskişehir: Merkez: Madam Tadia'nın Oteli,High,"İhsan remembers being cared for by Ayşe in this hotel room. He details their intimate conversations, his violent confession of love where he tore his own bandages, and her promise to marry him once they enter Izmir.",chapter_11.md
Ch11_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),High,"İhsan rides to the mobile hospital at 1 AM to check if Ayşe has returned, finding her working on dressings, which relieves his anxiety. | İhsan visits Ayşe in her tent at night, demanding she confirm her feelings. She states that they have both changed and that the time for such talk has passed.",chapter_11.md
Ch11_Mountain_Path,Ankara: Polatlı: Dağ Yolu,High,"İhsan and Peyami walk up the mountain before dinner. İhsan begins his deep confession about his absolute, feverish obsession with Ayşe since his Istanbul days.",chapter_11.md
Ch11_Observation_Trench,Ankara: Polatlı: Tepe Üstündeki Gözetleme Siperi,High,"İhsan and Peyami reach the observation trench where lookouts stand. İhsan monitors enemy movements, makes phone calls, and continues recounting his painful love for Ayşe.",chapter_11.md
Ch11_Train_Compartment,Ankara: Sincan: Tren Kompartımanı,High,"Leaving Ankara, İhsan and his fellow officers talk in their cold compartment, and he learns that an Izmirite nurse (Ayşe) is traveling in the adjacent compartment. | İhsan enters Ayşe's dimly lit compartment. She keeps her distance and cries silently. They talk about Ankara, and she refuses to visit him due to rumors of his engagement to Sabiha.",chapter_11.md
Ch11_Village_Entrance,Ankara: Polatlı: Tatar Köyü,High,"Peyami asks a guard at the village entrance for directions to the Chief of Staff's location. | Standing by a dying fire as the evening adhan echoes, Ayşe and İhsan weep together in mutual sorrow before she departs for Haşmet Bey's headquarters.",chapter_11.md
Ch11_Village_House_Room,Ankara: Polatlı: Köy Evindeki Küçük Oda,High,Peyami finds İhsan working at a wooden table in his coat. They discuss İhsan's transfer to command the regiment and their mutual desire to face danger.,chapter_11.md
Ch12_General_Hospital,Ankara: Cebeci: Cebeci Hastahanesi,High,"Peyami lies severely ill and paralyzed, contemplating his upcoming brain surgery and dreading that the doctors will discover his secrets, while reflecting on his memories of Karadağ.",chapter_12.md
Ch12_Karadag,Ankara: Polatlı: Karadağ,High,"Under the glow of Greek flare pistols, Turkish soldiers scale the steep, rocky slopes of the mountain in a brutal night battle, taking heavy casualties. | A fierce hand-to-hand combat takes place. İhsan reaches the rocky summit, gets shot during a volley of enemy fire, and falls dying into Peyami's arms. The surviving soldiers successfully seize the peak.",chapter_12.md
Ch12_Mobile_Hospital,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),High,"Peyami sits quietly behind the hospital to calm his racing heart before visiting Ayşe, reflecting on his past life and his deep feelings. | Peyami enters the ether-scented tent and watches Ayşe care for wounded soldiers. They step to the tent door and discuss the upcoming battle, İhsan's command, and bid each other a poignant farewell. | İhsan is laid in Ayşe's tent. Peyami learns that Ayşe was killed by artillery fire while treating a wounded soldier. Her body is brought in and laid side-by-side with İhsan, who dies holding Peyami's hand.",chapter_12.md
Ch12_Regiment_Dressing_Station,Ankara: Polatlı: Karadağ: Alay Sargı Mahalli,High,"Set up in a large natural pit, the dressing station acts as the staging area for the mountain assault. İhsan's aide Muhsin is wounded here by a shell, and İhsan coordinates with his battalion commanders before the night climb.",chapter_12.md
Ch12_Village_Cemetery,Ankara: Polatlı: Basri Köyü Mezarlığı,High,"The bodies of Ayşe and İhsan, wrapped in Turkish flags, are buried side-by-side in the village cemetery in the presence of Haşmet Bey, Cemal, and Peyami.",chapter_12.md
Ch13_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastahanesi,High,"İki doktor hastane yolundan aşağı doğru yürürken, vefat eden Peyami'nin yazdığı 'Ateşten Gömlek' belgesindeki kişilerin (Ayşe ve İhsan) gerçekte var olmadığını ve her şeyin beynindeki kurşunun bir etkisi olduğunu tartışırlar. | Peyami'nin beynindeki kurşunun çıkarılma ameliyatı esnasında hayatını kaybettiği ve arkasından evrakının incelendiği tıp merkezi.",chapter_13.md
Ch01_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı,Medium,"They walk through the Tünel area feeling slightly triumphant and cheerful despite the tense atmosphere, noting the stares of the non-Muslim locals. | İhsan invites Peyami and Cemal to drink tea here after surviving the bombing. | The three men eat dinner in Beyoğlu, spend the night drinking at a bar in Tepebaşı, and get nearly drunk to cope with the tension of the day.",chapter_01.md
Ch01_Darulfunun_Turk_Ocagi,İstanbul: Fatih: Darülfünun / Türk Ocağı,Medium,"Young women, teachers, and students gather here to carry out traditional nationalist propaganda, writing petitions and organizing.",chapter_01.md
Ch01_Foreign_Embassies,İstanbul: Beyoğlu: Yabancı Sefaretler,Medium,"Nationalist women deliver political petitions to the embassies. İhsan accompanies the traditional women, while Cemal is spotted with the rival Şişli faction under Salime Hanım, prompting subtle exchanges between the two men.",chapter_01.md
Ch01_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,Medium,"Cemal and Peyami walk here and meet İhsan, a smart young officer from the Third Army. They stand and discuss the armistice before hearing the sound of approaching British planes.",chapter_01.md
Ch01_Meserret_Cafe,İstanbul: Fatih: Sirkeci: Meserret Kıraathanesi,Medium,"Peyami and Cemal meet daily after 4 PM with military officers who debate the war, peace negotiations, Enver Pasha, and the Germans.",chapter_01.md
Ch01_Sirkeci_Salon,İstanbul: Fatih: Sirkeci: Cemal's Favorite Salon,Medium,"Peyami, Cemal, and İhsan gather at Cemal's favorite establishment in Sirkeci to drink rakı, talk, and socialize.",chapter_01.md
Ch02_Galata_Bridge,İstanbul: Eminönü: Galata Köprüsü,Medium,"At the entrance of the bridge, İhsan secures a carriage for them. Cemal introduces İhsan to Ayşe, and İhsan respectfully bows and kisses Ayşe's hand.",chapter_02.md
Ch02_The_Quay,İstanbul: Karaköy: Rıhtım,Medium,Peyami and Cemal go to the crowded harbor to meet Ayşe as she arrives by ferry from Izmir. Peyami observes the Greek soldiers and officers on the docks while waiting.,chapter_02.md
Ch03_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,Medium,"As they cross the Galata Bridge on the tram, İhsan stares out at the dark waters of Haliç and the bare, mast-like silhouettes of sailing boats.",chapter_03.md
Ch03_Harbiye_Nezareti,İstanbul: Fatih: Beyazıt: Harbiye Nezareti,Medium,"Haşmet Bey, İhsan, and Peyami walk toward Beyazıd. Haşmet Bey gazes with deep concern at the Ministry of War, commenting on the nation's destiny before parting ways with them.",chapter_03.md
Ch03_Istanbul_Restaurant,İstanbul: Sirkeci: İstanbul Lokantası,Medium,"Peyami and İhsan eat dinner and drink wine while looking out at Sirkeci. They observe French Senegalese soldiers mocking locals outside, prompting İhsan to make a bitter remark about foreign civilization.",chapter_03.md
Ch03_Merchant_House_Moda,İstanbul: Kadıköy: Moda'da Bir Tüccarın Evi,Medium,"Ayşe recounts an incident during a Turkish lesson she was giving here. Salime Hanım arrived on an English tugboat, completely ignoring Ayşe and snobbishly suggesting the family hire an English governess instead.",chapter_03.md
Ch03_Sirkeci_Tramway,İstanbul: Fatih: Sirkeci: İstanbul Lokantası,Medium,"Peyami and İhsan board a tram together as night falls, navigating through the streets of Istanbul and deciding to have dinner together.",chapter_03.md
Ch04_Adapazari_Road,Kocaeli: Kandıra: Adapazarı Road,Medium,"Ayşe, Peyami, and Seyfi travel disguised as peasants with an oxcart under the stars, sleeping in the open fields.",chapter_04.md
Ch04_Ayses_House_Gedikpasa,İstanbul: Fatih: Gedikpaşa: Ayşe'nin Evi,Medium,"British soldiers and an Armenian translator search the house, ordering Ayşe to leave, prompting her to pack and depart.",chapter_04.md
Ch04_Kandira,Kocaeli: Kandıra: Coastline,Medium,The group stops by the sea to take a final look at the Gulf of Izmit and say a tearful goodbye to Istanbul.,chapter_04.md
Ch05_Kandira,Kocaeli: Kandıra: A Village in Kandıra,Medium,"Sabah horozlar öterken yola çıkan kafile, Geyve'de çarpışan İhsan'ın maiyetinden Ahmed Rıfkı ve sekiz atlısıyla karşılaşır. Ayşe'nin kimliği açıklanınca çeteler dindar bir huşuyla elini öper; at temin edilerek seyahat tarzı değiştirilir.",chapter_05.md
Ch06_Circassian_Village,Kocaeli: Kandıra: İkizce (Çerkes Köyü),Medium,"They are hosted by Mürsel Ağa and his two sons. Peyami sees a military photo of one of the sons from Istanbul, and Mehmet Çavuş speaks passionately about the Sultan and the revolution. | One of Mürsel Ağa's sons stops Peyami and Mehmet Çavuş to warn them about a local Circassian village and advises them that Saffet Bey is hiding in Kaymaz. | Peyami rides through a picturesque village with terrace houses, seeing a girl on a green balcony and a man on the red dirt road, reflecting on brotherhood and the national struggle. | Suspecting they are being pursued, Peyami and Mehmet Çavuş dismount and hide behind a mound, leading to a tense standoff where they finally encounter Yüzbaşı Saffet Bey and his men.",chapter_06.md
Ch06_Geyve,Sakarya: Geyve,Medium,"Peyami reflects on his new sense of freedom after Ayşe's departure and resolves to prove his bravery here, training under Ihsan and Mehmet Çavuş. | They make a grueling six-day return journey, walking alongside the squeaking oxcarts, hiding the ammunition boxes during the day, and traveling only at night.",chapter_06.md
Ch06_Ihsans_Tent,Sakarya: Geyve: İhsan'ın Karargâhı,Medium,Ihsan summons Peyami and Mehmet Çavuş in the morning to hand them a mission to retrieve buried ammunition near Kandıra with the help of Yüzbaşı Saffet.,chapter_06.md
Ch06_Sakarya_River_Crossing,Sakarya: Geyve: Sakarya Nehri,Medium,"They cross the Sakarya River, hiding Mehmet Çavuş under the hay in a refugee's cart to pass unnoticed.",chapter_06.md
Ch06_Training_Ground,Sakarya: Geyve: Talimgâh,Medium,"Ihsan subjects Peyami to harsh, grueling equestrian and combat drills, testing his physical limits.",chapter_06.md
Ch06_Vacant_Sheepfold,Sakarya: Geyve: Sarılar: Boş Ağıl,Medium,"Peyami and Mehmet Çavuş camp out for the night by a fire, and Mehmet Çavuş recounts a dramatic story of smuggling weapons out of occupied Istanbul.",chapter_06.md
Ch07_Ihsans_Tent,Sakarya: Geyve: Doğançay: İhsan'ın Çadırı ve Karargâhı,Medium,"Peyami ve Mehmet Çavuş'un İhsan'a rapor verdiği, İhsan'ın kararlar aldığı ve geceleyin Kezban'ın gizlice girerek ağladığı çadır. | Peyami'nin gece uyuyamadığı, yan çadırdaki sesleri dinlediği ve ertesi gece Kezban'ın gizlice gelerek ona dertlerini anlattığı yer. | Peyami'nin gece çadırından çıkıp çakmak çaktığı ve Mehmet Çavuş'u elinde tüfekle İhsan'ın çadırını dinlerken bulup konuştuğu yer.",chapter_07.md
Ch08_Ruined_Mill,Konya: Sarılar: Harap Değirmen Binası,Medium,A group of hostile villagers rushes out of this ruined mill to attack the horsemen from behind.,chapter_08.md
Ch08_Village_Street,Konya: Unnamed Village: Köy Sokağı,Medium,"The rowdy crowd drags the captive İhsan through a dusty, bumpy village street. Peyami follows closely and squeezes beside an empty cart.",chapter_08.md
Ch09_Ankara_Defense_Office,Ankara: Ulus: Müdâfaa-i Milliyye Dairesi,Medium,"Peyami works at his desk, going from room to room, feeling isolated from his friends and the real action at the front.",chapter_09.md
Ch09_Cebeci_Hospital,Ankara: Cebeci: Cebeci Hastanesi,Medium,"Peyami is visited by his doctor, reflects on his upcoming surgery, and looks through his diary notes before embarking on the last part of his story.",chapter_09.md
Ch09_Eskisehir_Station,Eskişehir: Merkez: Eskişehir İstasyonu,Medium,"Peyami gets off the train with a bandaged arm, thinking about how Ayşe will react to his wound. | Ayşe describes the crowded station where wounded soldiers arrive on stretchers, and they are served tea at the teahouse while clutching their bread rations.",chapter_09.md
Ch09_Eskisehir_Street,Eskişehir: Merkez: Eskişehir'de Bir Cadde,Medium,"Peyami tries to cross the street amidst passing soldiers, feeling a childish excitement as drums and zurnas play.",chapter_09.md
Ch09_Train_Compartment,Ankara: Polatlı: Tren Kompartımanı,Medium,"Ayşe travels through the night in an open train car with wounded soldiers, conversing softly with them as they head towards Polatlı.",chapter_09.md
Ch10_Ankara_Defense_Office,Ankara: Ulus: Müdafaa-i Milliye Dairesi,Medium,"The narrator works among papers, yearning for the front, and is suddenly called by his chief to be dispatched as a Greek translator and photographer.",chapter_10.md
Ch10_Branch_Office,Ankara: Polatlı: Şube Binası,Medium,The wooden building where the narrator works daily on Greek newspapers and drafts daily orders.,chapter_10.md
Ch10_Drivers_Tent,Ankara: Polatlı: Şoförler Çadırı,Medium,"A neighboring tent where drivers read romantic novels, sing, and joke to maintain high spirits during the battle.",chapter_10.md
Ch10_Last_Station,Ankara: Polatlı: Son İstasyon,Medium,"The train arrives before dawn; troops silently unload animals and ammunition, and an attack battalion commander barks marching orders.",chapter_10.md
Ch10_Opposite_Slope,Ankara: Polatlı: Karşıki Yamaç,Medium,"An opposite hill slope where the narrator watches the military band play, observing İsmet Paşa and the Commander-in-Chief discussing the front.",chapter_10.md
Ch10_Supreme_Headquarters,Ankara: Polatlı: Alagöz: Başkumandanlık Binası,Medium,"A simple, two-story village house with a balcony where the Commander-in-Chief works through the night under glowing lights.",chapter_10.md
Ch11_Ankara_Station,Ankara: Altındağ: Ankara İstasyonu,Medium,"İhsan's cousin's family sends him off; his cousin's daughter Sabiha cries and kisses him goodbye, hinting at a potential match that İhsan reluctantly accepts.",chapter_11.md
Ch11_Cousins_House_Ankara,Ankara: Dikmen: Cousin's House,Medium,"İhsan spends his recovery leave here, walking in the fields with his cousin's daughters, feeling temporarily happy and free of his feverish obsession.",chapter_11.md
Ch11_Eskisehir_Hospital,Eskişehir: Merkez: Eskişehir Hastanesi,Medium,İhsan remembers waking up on the operating table to find Ayşe placing a cold cloth on his forehead and nursing him with tender care.,chapter_11.md
Ch11_Malli_Station,Ankara: Polatlı: Mallı Station,Medium,"The train stops; a shivering İhsan sends a soldier to confirm Ayşe's presence, then rushes to her compartment.",chapter_11.md
Ch11_Metris_Tepe,Bilecik: Bozüyük: Metris Tepe,Medium,"İhsan recounts being shot in the chest at Metris Tepe during the Second Battle of İnönü, losing consciousness and believing he was dying.",chapter_11.md
Ch11_Tatar_Village,Ankara: Polatlı: Tatar Köyü,Medium,"Peyami enters a village square, notices a Tatar woman coming out of a barn, and asks a sentry where the Chief of Staff is.",chapter_11.md
Ch11_Village_Road,Ankara: Polatlı: Köy Yolu,Medium,Ayşe and İhsan walk together towards the village so she can give Haşmet Bey his arm massage. Ayşe asks him about the photo of Sabiha.,chapter_11.md
Ch11_Village_Valley,Ankara: Polatlı: Köy Yakınındaki Vadi,Medium,"Peyami rides toward the military headquarters as dusk falls, observing the distant tents, fires, and the mobile hospital where Ayşe works.",chapter_11.md
Ch12_Ambulance_Mountain_Road,Ankara: Polatlı: Karadağ: Dağ Yolu,Medium,"Peyami travels in an ambulance down the mountain road, trying to comfort the delirious, dying İhsan.",chapter_12.md
Ch12_Basri_Village_Room,Ankara: Polatlı: Basri Village: Village Room,Medium,Peyami sits with a sobbing Cemal and Haşmet Bey. He silently vows to be the first to enter Izmir to prove his devotion to Ayşe's memory.,chapter_12.md
Ch12_Ihsans_Tent,Ankara: Polatlı: İhsan'ın Çadırı ve Karargâhı,Medium,"İhsan works tirelessly through the night giving mechanical, stern orders. Later, during the night before the battle, Peyami returns here and finds İhsan restlessly sleep-talking about the assault.",chapter_12.md
Ch12_Polatli,Ankara: Polatlı: Karadağ,Medium,The soldiers and their horses press on through a heavily shelled field where explosions rip up the earth. | The regiment advances up a significant slope under intense machine gun and artillery fire. Peyami experiences the terrifying but strangely simple reality of combat.,chapter_12.md
Ch12_Rear_Ridges,Ankara: Polatlı: Arka Sırtlar,Medium,İhsan takes over his regiment and rigorously trains the newly recruited troops on the yellow ridge lines.,chapter_12.md
Ch12_Regiment_Camp,Ankara: Polatlı: Alay Karargâhı,Medium,"Peyami wakes up to find İhsan drinking coffee. Greek airplanes bomb the camp, but İhsan watches them with child-like fascination, and the soldiers prepare for battle amid intense artillery noise.",chapter_12.md
Ch12_Ridge_Lines,Ankara: Polatlı: Hattı Bala (Sırtlar),Medium,"The regiment, led by İhsan on horseback, prepares to cross the ridge into the active combat zone. Peyami carries messages and resists the urge to wave back at the mobile hospital before crossing.",chapter_12.md
Ch12_Slope_to_Valley,Ankara: Polatlı: Vadiye İnen Meyil,Medium,"Peyami walks down the slope toward the mobile hospital, crying as he dramatically practices the emotional speech he plans to deliver to Ayşe.",chapter_12.md
Ch12_Valley_After_Ridge,Ankara: Polatlı: Sırtın Ardındaki Vadi,Medium,The troops march through a dusty valley enclosed by mountains while artillery shells detonate around them.,chapter_12.md
Ch01_Galata_Bridge,İstanbul: Fatih: Galata Köprüsü,Low,"The trio crosses the bridge together, talking and laughing after their drinking sessions.",chapter_01.md
Ch02_Osmanbey_Tram_Station,İstanbul: Şişli: Osmanbey Tramvay İstasyonu,Low,"The group boards a tram in front of Osmanbey, navigating through a tense, observant crowd of Muslims and Christians on their way to the rally.",chapter_02.md
Ch03_Ankara,Ankara,Low,"The narrator Peyami, sitting in the cold environment of Ankara, reflects on his past days in Istanbul and his regular visits to Ayşe's house.",chapter_03.md
Ch03_Beyoglu_Tepebasi,İstanbul: Beyoğlu: Tepebaşı Bahçesi,Low,"Peyami points out a garden overflowing with music and life to İhsan, suggesting they distract themselves instead of returning home directly.",chapter_03.md
