Name,Ethnicity,Political Stance,Affiliation Quotes,Importance Rank,Description,literary_analysis
Yüzbaşı Salim,Turk,Nationalist,"Beğim, Beğim, onlar şehit oldu. Ne mutlu, ağlama, diyor. | Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler. | Bugün dışarıda müthiş bir soğuk var, mevcut olmayan ayaklarım donuyor gibi, parmaklarımın ucu bir türlü ısınmıyor; Salim'e ellerimi, kollarımı ovduruyorum. | Neferim Salim de aynı benim gibi onları dinliyor. Onun ruhu benden fazla havadan iyi ve kötü haberleri seziyor. | Bu sabah her şeyi Salim'e vasiyet ettim.",3,"Yüzbaşı Salim is a young Turkish Captain who serves as Peyami's loyal personal orderly (nefer) and helper at Cebeci Hospital. He cares for Peyami with maternal devotion, rubbing his freezing hands and arms to warm them, and serving him coffee. Salim gauges the progress of the war through songs and meets with the main characters after the rally, showing solidarity with Ayşe. Peyami entrusts his last will to Salim, requesting to be buried at the feet of Ayşe and İhsan.","Based on the provided data, Yüzbaşı Salim's exact narrative function cannot be determined. No information regarding his role, actions, or impact is present."
Salime Hanım,Turk,Collaborator,"Sizin Paşanızın sakalından tutup, direğe bağlayıp diri diri yakacağız, sizin beylerin azalarını birer birer koparacağız, hele sizin Paşa yok mu, ağzına kurşun akıtacağız. | Mister Cook, biz harb istemedik. İngiliz dostluğunu elde etmek için her fedakârlığa razıyız. | Salime Hanım bir İngiliz römorkörüyle gelmez mi?",3,"Salime Hanım is an influential, proud, and wealthy Turkish socialite in Istanbul's Şişli district. She is an anti-Unionist and pro-occupation figure who aggressively coordinates political propaganda circles. She advocates for seeking the sympathy and protection of the British, associating closely with their forces.","Based on the provided data, Salime Hanım's exact narrative function is undeterminable. The given information offers no details on her role or interactions."
Mister Cook,Foreigner,Occupation supporter,"Nafile Madam, İngiltere sizleri affetmeyecektir. Çanakkale'de altmış bin İngiliz öldürdünüz, diyordu. | Sizin ürküttüğünüz Mister Cook'a Hükûmet iki bin lira vermiş, bu sırf bizim aleyhimizde yazmaması için hakkısükût. | Mister Cook'un çıplak başı, uzun bıyıkları, sarı kocaman dişleri meydanda, küçük gözleri kan içinde bana baktı.",3,"Mister Cook is an arrogant British correspondent who represents the occupying attitude, patronizing the Turks and insisting on British supremacy. He receives money from the Istanbul government to silence his anti-nationalist reporting. He appears as an English authority figure and a menacing oppressor during the occupation in Peyami's feverish hallucinations.",The provided data offers no information regarding Mister Cook's narrative function.
Miralay Haşmet Bey,Turk,Nationalist,"Affedersiniz, hanımefendi, harbde memleketini müdafaa eden, dövüşen yalnız İttihâdcılar değildi, dedi. | Haşmet Bey herhalde millî hareketin mühim olmasa bile faal bir uzvu idi... | Dün akşam Haşmet Bey'in gelip geçmesi mevzû-i bahsmiş. | Haşmet Bey elinde kamçısı giriyor, askerî başı yine eski gördüğümüz gibi, fakat biraz şakakları ağarmış ve yüzü tamamıyla tunçlaşmış; | Sakarya'nın ötesinde bacaklarımla gövdemi top ayırdığı günlerde, Ayşe'siz ve boş seyyarda yatarken Haşmet Bey kulağıma eğildi: — Senin bacaklarını Gökçepınar Mezarlığı'na gömdüreyim, dedi | Haşmet Bey! | Yarın Haşmet Bey'in fırkası da, Cemal de mutlak harbedecekler.",3,"Miralay Haşmet Bey is a dignified, experienced, strong-willed Turkish colonel of the Ottoman military and a division commander. An active member of the Nationalist movement, he defends the honor of Turkish soldiers during the war and prepares to cross to Anatolia. He pledges his sword to Ayşe, visits her, and is a figure Ayşe hopes to spot. He supports Ayşe and Cemal, eventually taking Ayşe to the front lines. A close associate of İhsan, Haşmet's wounded arm is massaged by Ayşe, sparking İhsan's intense, murderous jealousy. He comforted Peyami after his legs were severed on the road to Izmir, leads his forces in battle, and is later seen paying his respects at the graves of Ayşe and İhsan.",Miralay Haşmet Bey's exact narrative function cannot be determined from the provided data.
Sebzeci Zeynep Kadın,Turk,Apolitical/unclear,Mahallede yegâne tanıdığı sebzevatçı Zeyneb kadın. | Bî-çâre kadın hep Anadolu'daki Paşa'nın gelip İstanbul'u kurtaracağını söylüyordu.,3,"Sebzeci Zeynep Kadın is a local female vegetable vendor who is Ayşe's only acquaintance in her new Gedikpaşa neighborhood. She lives with Ayşe, supports the Nationalist movement, and helps deliver Ayşe's letters to Peyami.","Based on the provided data, Sebzeci Zeynep Kadın's narrative function cannot be determined. No information is available to establish her role."
Hademe Ahmet Ağa,Turk,Nationalist,"Onun ne kadar gâvur düşmanı, nasıl Erzurum'da Ruslarla gelen Ermenilerin bütün Erzurum'da kendi çocuklarını, karısını öldürdükten sonra Türk'ün ocaklarını söndüren Ermenileri mazlum bir millet diye gösteren Avrupa'ya gayzını bilirdim.",3,Hademe Ahmet Ağa is a loyal office servant at the Ministry of Foreign Affairs who hates the occupiers and helps Peyami find Ayşe.,"The provided data for Hademe Ahmet Ağa includes only his name. It offers no description, stance, or quotes, thus precluding any determination of his narrative function within Ateşten Gömlek."
Kalpaklı Genç ve Küçük Zabit,Turk,Nationalist,"Öndeki, başında kalpağını muhafaza eden genç ve küçük bir zâbitti.",3,"Kalpaklı Genç ve Küçük Zabit is a small, young officer wearing a kalpak and speaking with a clear Trabzon accent, who rode up to welcome Ayşe's party.","This character embodies the young, junior officers fighting in the Turkish War of Independence."
Saffet Bey,Turk,Nationalist,"Ta ilk zamanlardan beri o havalide İstanbul milliyetçilerini kaçıran ve çalışan Yüzbaşı Saffet isminde bir genç zâbit vardı. | Saffet Bey'i odanın ışığında gördüm. Uzun siyah kalpağı, kahverengi av kostümü, aynı renkte gömleğinin üstündeki kırmızı boyun bağıyla hiç de dağ başında ihtilâl çetesi idare eden bir adama benzemiyordu.",3,"Saffet Bey is a young, elegant, and fearless nationalist officer. Operating in the Kandıra region, he smuggles nationalists, knows the secret location of a hidden cache of ammunition, and manages ammunition transports. He was physically met by Peyami in a Circassian village.","Based on the provided data, Saffet Bey's exact narrative function in Ateşten Gömlek cannot be determined."
Muhsin Bey,Turk,Nationalist,"Götür Muhsin Bey'e yazdırt. | Muhsin Bey buna şiddetle aleyhtar: 'Bugün kuzu gibi olan köylüleri yarın bir kasırga gibi Konya'dan geçen ihtilâl sıtması tutabilir,' diyor. | Alay'ın yâveri Mülâzım Muhsin Bey muvazzaf bir zâbit. | Peyami, Muhsin yaralandı.",3,"Muhsin Bey is a cautious, loyal nationalist officer and adjutant of the regiment, responsible for registering volunteers for the militia. He warns İhsan against trusting the villagers, leads the cavalry rescue party, and exhibits a protective attitude toward Peyami during preparations for the advance. He is also mentioned by name during the climb to the ridge of Karadağ.","Based on the provided data, Muhsin Bey's exact narrative function is not specified."
Çerkes Kıyafetli Çocuk,Turk,Nationalist,"On beş, on altı yaşında kadar Çerkes kostümlü ince, güzel bir çocuk 'Zâbit, zâbit!' diye bağırıyormuş.",3,"A beautiful child, 15-16 years old, dressed in Circassian clothes (implicitly Kezban in disguise), who ran for six hours to warn the nationalist forces about an ambush.","Given only the name, the Çerkes Kıyafetli Çocuk functions as an observational detail, contributing to the background atmosphere and cultural setting of the narrative."
Başkumandan,Turk,Nationalist,Karşımdaki biraz yüksek köy binasında Başkumandan varmış. Penceresinden mavimtırak bir ışık parlıyor...,3,"Başkumandan is the Commander-in-Chief of the Turkish forces, described as working relentlessly on his maps and never sleeping.",Başkumandan represents the ultimate military authority and leadership during the Turkish War of Independence.
Birinci Doktor,Turk,Apolitical/unclear,İhtiyat Mülâzımı Peyami Efendi'nin evrakındaki isimleri tetkik ettim.,3,Birinci Doktor is one of two doctors walking down from Cebeci Hospital who discusses the medical records of the deceased Peyami.,The provided data is insufficient to determine Birinci Doktor's exact narrative function.
İkinci Doktor,Turk,Apolitical/unclear,Ne çıktı?,3,İkinci Doktor engages in a debate about Peyami's condition and the medical naming of his experience.,"Provides supplementary medical presence, assisting or confirming."
Katina,Greek,Apolitical/unclear,Ben çıngırağı çaldım; Katina'ya bir kahve ısmarladım; | Bir gün Katina'yı çağırdım.,2,"Katina is a Greek domestic servant in Peyami's household. She serves coffee, announces guests, and was sent by Peyami with money to summon Ahmed Ağa from the Ministry of Foreign Affairs.","Based on the provided data, Katina's narrative function in Ateşten Gömlek cannot be determined."
Doktor,Turk,Apolitical/unclear,"Doktor ne dedi? Başımdaki kurşun bende hayalât yapıyormuş. | Doktor bana fazla heyecan vermemek için hiç tarzı işgalden, İstanbul'da olandan bitenden bahsetmiyordu. | Hastalar doktora bırakılıyor, fazla araba ile arkamızdan hemen nakilleri için emir veriliyordu. | Bana sargılarla doktoru gönderin. | Bu sabah doktor geldi. Yanımda uzun oturdu, konuştu.",2,"Doktor is a military medical officer who treats Peyami's typhus at the Cebeci Hospital in Ankara and later dresses his bullet wound. He gently informs Peyami of the British occupation of Istanbul, and visits him in the morning to discuss his upcoming surgery. Additionally, he functions as the medical professional in the village to whom other wounded patients are handed over.",The provided data offers no information to determine Doktor's narrative function.
Mukbil Bey,Turk,Apolitical/unclear,"babamın akrabalarından Mukbil Bey isminde bir adamla evlendiğini | Peyami, dedi, Mukbil Bey'i Yunanlılar parçalamış, oğlu Hasan'a bir kurşun isabet etmiş, ölmüş. | belki kendi için ölen Mukbil Bey'in silik yüzü Ayşe'de aşk uyandırmamış olduğunu anlıyordum.",2,"Mukbil Bey, a relative of Peyami's father, retired from foreign service to run a farm and trade in Izmir. He was Ayşe's husband and was brutally killed by invading Greek forces at his estate in Izmir. According to İhsan, he did not successfully win Ayşe's passionate love.","Based on the provided data, Mukbil Bey's narrative function cannot be determined."
Anadolu Neferi,Turk,Nationalist,"paçaları lime lime yarım kunduralı, göğsünde harb madalyasının yırtık bir kordelâsı, uzun heyulâ gibi bir Anadolu neferi...",2,"Anadolu Neferi is a gaunt, decorated Anatolian veteran of the Great War who silently shares a moment of deep grief with Cemal and İhsan.","Anadolu Neferi represents the collective, anonymous sacrifice of the Anatolian soldiers in the Turkish War of Independence."
Mehmet Emin Bey,Turk,Nationalist,"Yalnız Mehmet Emin Bey'in beyaz başını, millî bir aziz gibi, bir evliya gibi seçtim.",2,Mehmet Emin Bey is a nationalist Turkish intellectual and public figure who spoke on the pulpit during the Sultanahmed rally.,"Based on the provided data, Mehmet Emin Bey's exact narrative function cannot be determined. No information regarding his role or appearance in *Ateşten Gömlek* is present."
Yaralı Türk Askerleri,Turk,Nationalist,"Bunların hep malûl asker olduklarını, kiminin tek bacaklı, koltuk değnekli, kiminin bir kolu kesik, kiminin iki gözü kapanmış topal bir arkadaşa tutunarak yürüdüklerini gördüm.",2,"Disabled veteran soldiers who attend the Sultanahmed protest, moving the crowd with their solemn presence.","They depict the war's human toll, providing context and fueling protagonist actions."
Yüzbaşı Hayri,Turk,Nationalist,"Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler. | Ahmed Selim ile Hayri... Hani şu bizim Meserret Kırâathânesi arkadaşlarından iki yüzbaşı.",2,"Yüzbaşı Hayri is a young, round-faced Turkish captain. He is a wounded member of the narrator's pre-war circle, mentioned alongside Ahmed Selim. He joins Peyami, Cemal, and Ayşe after the Sultanahmed rally.","Based on the provided data, Yüzbaşı Hayri's exact narrative function cannot be determined."
Yüzbaşı Ahmet Selim,Turk,Nationalist,"Meserret Kırâathânesi'nde tanıdığım genç, toparlak yüzlü üç yüzbaşı, Hayri, Salim ve Ahmed Selim bize iltihak ettiler. | Ahmed Selim ile Hayri... Hani şu bizim Meserret Kırâathânesi arkadaşlarından iki yüzbaşı.",2,"Yüzbaşı Ahmet Selim is a young Turkish captain and a former companion of the narrator from the Meserret Coffeehouse. He meets the group, pays his respects to Ayşe, and is deeply moved by her tragedy. He is later seen wounded in the head in the Haymana Mosque.","Based solely on the provided data, Yüzbaşı Ahmet Selim's exact narrative function is indeterminate. No descriptive information, stance, or quotes are given to ascertain his role."
Wilson İlkelerinden Bahseden Paşa,Turk,Ottoman loyalist,"bir paşa ""Wilson Prensipleri""nden bahsediyor",2,Wilson İlkelerinden Bahseden Paşa is an Ottoman political figure who discusses the Wilson Principles during the gathering at Salime Hanım's house.,"Wilson İlkelerinden Bahseden Paşa introduces Wilson's Principles, symbolizing the diplomatic and political alternatives considered during the Turkish War of Independence, thereby framing the novel's ultimate focus on armed struggle."
İhtiyar Sabri Paşa,Turk,Nationalist,"Miralay Haşmet Bey ve ihtiyar Sabri Paşa da dahil olduğu hâlde, İzmir Kızı'na kılıçlarını vakf ediyorlardı.",2,İhtiyar Sabri Paşa is an elderly Ottoman general who joins Colonel Haşmet in dedicating his loyalty and sword to Ayşe and the liberation of Izmir.,"Based on the provided data, İhtiyar Sabri Paşa's narrative function cannot be determined."
Zabit Arkadaşlar,Turk,Nationalist,Zâbit arkadaşların hepsinde İzmir'e gitmek için bir humma başlamıştı.,2,Zabit Arkadaşlar are a group of Turkish military officers in Istanbul who are eager to depart for Izmir to fight.,"Based on the provided data, the exact narrative function of Zabit Arkadaşlar cannot be determined."
Yemin Eden Askerler,Turk,Nationalist,"Ayşe, İhsan'ı askerlerin yemin ettiği günden sonra ilk defa olarak görüyordu.",2,Soldiers who previously swore an oath to liberate Izmir have departed for the front.,Their narrative function cannot be determined from the provided data.
On Zabit,Turk,Nationalist,"Cemal başta olarak on zâbit ceplerinde yüzer lira ile meçhule, ölüme gittiler.",2,On Zabit is a group of ten nationalist officers who left Istanbul with little money to join the resistance.,"The provided data for On Zabit is limited. It offers no description, stance, or quotes. Consequently, a specific narrative function cannot be identified from this information."
Cemal'in Arkadaşları,Turk,Nationalist,Cemal'in arkadaşlarının mücadelesiyle meşgul.,2,Cemal's nationalist comrades who correspond with Ayşe and fight in Anatolia.,Data reveals no narrative function.
Efeler,Turk,Nationalist,"Dağlarda dövüşen efelerini, genç İzmirlileri çok seviyor.",2,Efeler are irregular Turkish fighters (Zeybeks) waging a guerrilla struggle against the occupation in the mountains.,The provided data is insufficient to determine Efeler's narrative function.
Genç İzmirliler,Turk,Nationalist,"Dağlarda dövüşen efelerini, genç İzmirlileri çok seviyor.",2,Genç İzmirliler are the patriotic youth of Izmir who have taken up arms to defend their homeland.,The provided data is insufficient to determine the exact narrative function of Genç İzmirliler.
Halam,Turk,Collaborator,"Halam, darılma ama, bizim Pâdişâh'a benziyor. İngiliz'e uşak olmayan herkesten vazgeçmiştir.",2,"Halam is Ayşe's very strict aunt who keeps Ayşe at home. She shares a submissive attitude towards the British, similar to the Sultan.","Based on the provided data, Halam's exact narrative function cannot be determined. The given information offers no details about the character's role or purpose."
Nöbetçi,Turk,Nationalist,"Kapıda nöbetçi, İngilizlere 'yasak' demiş. | --- Posta! Kumandan Bey'in çadırına bu childla gazeteler gönderiyorum. Bırak geçsin. --- Peki efendim. | İnce bir kadın sesi, bir çocuk sesi gibi bir feryat nöbetçiyi uyandırmış. | Köyün methalinde nöbetçiye Erkânıharp Reisi'nin yerini sordum. ""Doğru git, sağa sap,"" dedi.",2,Nöbetçi (meaning sentry/guard) represents various Turkish nationalist soldiers. He is depicted as a heroic sentry who stood his ground and proclaimed 'forbidden' to British soldiers before being killed. Other instances include a guard at Commander İhsan's tent allowing Kezban entry under Peyami's orders; a guard duty soldier woken by a warning cry who brings a disguised informant to Muhsin Bey; and a military sentry at the Tatar village entrance who directs Peyami to the Chief of Staff's office.,The provided data is insufficient to determine Nöbetçi's exact narrative function.
Ermeni Tercüman,Armenian,Collaborator,"Bir Ermeni tercüman, bir küme İngiliz askerine tercümanlık ediyor.",2,An Armenian translator who mockingly assists British soldiers in seizing Ayşe's house.,This character's function is to bridge language barriers between other characters.
Çocuğu Kucağında Ayakta Duran Genç Kadın,Turk,Nationalist,"Bana kocasının genç bir zâbit olduğunu, çete yazılıp gittiğini, kendisinin yalnız olduğunu söyledi.",2,"A young mother evicted from her home by the British, whose husband joined the nationalist militias.",She serves as a visual symbol of the innocent civilian suffering and vulnerability caused by the war.
Evin Sahibinin Fedakar Genç Karısı,Turk,Nationalist,"Sahibinin, ağzı sakızlı, yüreği elmas gibi parlak, fedakâr bir genç karısı...",2,"Evin Sahibinin Fedakar Genç Karısı is the kind, supportive young wife of the house owner who welcomes Ayşe and Seyfi.","Based on the provided data, this character's exact narrative function cannot be determined."
Nine,Turk,Nationalist,"Allahım, sen küffarı hâk-sâr eyle, diye dua ediyordu.",2,"Nine is an old, pious woman living in the safe house who prays for the defeat of the occupiers and listens to Ayşe's sorrows.",Nine's narrative function is indeterminable from the provided data.
Seyfi'nin Annesi,Turk,Nationalist,"Ayşe'yi yer minderi üstünde diz çökmüş, Seyfi'nin annesine kahve pişirir buldum.",2,Seyfi's mother lives in a safe house in Üsküdar and welcomes Ayşe.,She establishes Seyfi's maternal lineage.
Gündüz Çalışan Adam,Turk,Nationalist,"Gündüz arkasında gecelik entarisi, üstünde kolsuz haydarî bir aba, saçı başı karışık bir adam sebze suluyor.",2,"Gündüz Çalışan Adam is a man who poses as a gardener by day, and by night acts as a sentry and gatekeeper for nationalist escapees.",No narrative function can be determined from the provided data.
Sazlıktaki Alçak Sesli Çeteci,Muslim,Ottoman loyalist,"Karşıki sazlıkların arkasından bir tüfeğin ucu görünüyordu. Kısık bir ses haykırdı: — Yere yatın, tüfengleri beriye atın!",2,"Sazlıktaki Alçak Sesli Çeteci is an insurgent allied with the Caliphate forces, who ambushes the group from a reed bed during their river crossing.","The character embodies an anonymous, stealthy threat."
İri Yarı Anadolu Çavuşu,Turk,Nationalist,"Bunu, bunların arasında eskiden asker iken İstanbul'dan kaçmış ve iltihak etmiş iri bir Anadolu çavuşu söylüyordu.",2,İri Yarı Anadolu Çavuşu is a large former soldier from Istanbul who joined the resistance and agrees with Seyfi's views on the vulnerability of irregular militias.,Narrative function indeterminate from provided data.
Mürsel Ağa,Turk,Anti-occupation,Köyün âyanından Mürsel Ağa'nın evinde misafir olmuştuk. En iyi odasını bizi açmıştı ve iki oğlu ile bize hizmet ediyordu.,2,Mürsel Ağa is an esteemed elder from a Kandıra village who provides warm hospitality and safe shelter to Peyami and Mehmet Çavuş.,The provided data is insufficient to determine Mürsel Ağa's narrative function.
Mürsel Ağa'nın Oğulları,Turk,Nationalist,"İki oğlu uzun, geniş ablak yüzlü, arslan başlı Anadolu delikanlılarıydı... mutlak bunların İstanbul'da askerlik ettiklerini farz ettiriyordu.",2,"Mürsel Ağa'nın two strong, soldierly sons serve the travelers during their stay at their father's house.",The provided data does not describe their narrative function.
Mürsel Ağa'nın Yamaçtaki Oğlu,Turk,Nationalist,"Bunlardan çok erken ayrılıp gittikten sonra bu çocuklardan birini yolun yanındaki yamaçta gördük. Bize mendil salladı... Saffet Bey, Kaymaz'da saklıdır, dedi.",2,Mürsel Ağa'nın Yamaçtaki Oğlu is one of Mürsel Ağa's sons. He intercepts Peyami on the road to give vital warnings about a hostile village and reveal Saffet Bey's hidden location.,Narrative function not present in provided data.
Kara Sakallı Çerkes Ev Sahibi,Muslim,Nationalist,"Siyah sakallı, çetin yüzlü Çerkes üniformalı ev sahibi bizi karşıladı.",2,"Kara Sakallı Çerkes Ev Sahibi is a stern-faced, black-bearded Circassian homeowner in uniform who hosts the nationalist operatives in Ikizce.",He functions as the owner of the residence where characters are situated.
Kezban'ın Yengesi,Turk,Apolitical/unclear,"Ağaçların arasından biraz kısık ve çok gazablı bir kadın sesi haykırdı: --- Ciğerine bit düşesi zilli kine, askerlerle ne ediyon, ha!",2,"Kezban's hostile aunt, who beats and overworks her in the village.",Her narrative function cannot be determined from the provided data.
İki Sarıklı İhtiyar,Turk,Collaborator,gelen iki sarıklı ihtiyarla üç köylü ağa İhsan'a muhabbet ve emniyet telkin etmiş.,2,"Two religious elders who invited İhsan to their village under the pretense of loyalty, successfully setting up an ambush.",Their narrative function cannot be determined from the provided data.
Üç Köy Lideri,Turk,Collaborator,gelen iki sarıklı ihtiyarla üç köylü ağa İhsan'a muhabbet ve emniyet telkin etmiş.,2,Üç Köy Lideri are three village notables who accompany turbaned elders to lure İhsan's small group into the village.,The provided data is insufficient to determine Üç Köy Lideri's narrative function.
Beş Süvari,Turk,Nationalist,İhsan ihtiyaten bir müfrezeyi nahiyeye yaklaştırdıktan sonra beş süvari ve bir de benimle beraber davete gidiyor.,2,Beş Süvari are the five nationalist soldiers who escort İhsan and Peyami into the village during the ambush.,"Based on the provided data, Beş Süvari's narrative function cannot be determined. No information is available regarding their role or description."
Kumandan,Turk,Nationalist,"Sen Kumandan'a git Cemal, diyordu. Geçen gün geldi, hastahaneyi gezdi. | Kumandan Bey'den, Alay'ın kumandasını almak için rica ettim.",2,"Kumandan is a high-ranking corps commander, described as understanding and having a noble face, who visited the hospital. He granted İhsan permission to take over the command of the active regiment.",The provided data is insufficient to determine Kumandan's narrative function in Ateşten Gömlek.
Madam Tadia,Foreigner,Anti-occupation,"Her asker geçtikçe Madam Tadia pencereden bakıyor, önlüğü ile gözünü siliyor, hep ağlıyor: ""Ne kadar ana daha ağlayacak, hepsi ne güzel, neden bu kadar güzel, nasıl bu kadar güzel?"" diyor. | Beni hastahanede yer olmadığı için Madam Tadia' nın otelindeki küçük odaya naklettiler.",2,"Madam Tadia is the non-Turkish owner of an eating establishment and hotel in Eskişehir. She hosts the characters, cares for Ayşe when she is sick, and her hotel served as a place for İhsan to convalesce due to lack of space in the regular hospital.","Based on the provided data, Madam Tadia's exact narrative function cannot be determined."
Sıhhiye Neferi,Turk,Nationalist,"Sıhhiye neferi hakikaten müşfik bir mahlûk. Harp, yara onun şefkati ile beraber biraz da gıbtasını tahrik ediyor. | Sıhhiye neferi sesinde hıçkırıkla, fakat iftiharla, aşkla söylüyor:",2,Sıhhiye Neferi is a compassionate medical orderly. He gently carries and attends to wounded soldiers in the hospital. He also brings Ayşe's body back to the tent and emotionally recounts how she was killed while tending to a wounded soldier.,"Based on the provided data, Sıhhiye Neferi's exact narrative function cannot be determined. No information regarding their role, actions, or dialogue is present."
Hüseyin Çavuş,Turk,Nationalist,Yanıbaşımdaki çavuşun bu seslere neden iştirâk etmediğini anlamak için döndüm. Hüseyin Çavuş yatağının içinde çocuk gibi büzülmüş ağlıyordu. | Bu sefer dokuz yaradan aşağı almayacağını söylüyor.,2,"Hüseyin Çavuş is a wounded sergeant who weeps in his hospital bed over the death of a young standard-bearer from Bursa. Previously cared for by Ayşe in Eskişehir, he eagerly wishes to return to his regiment despite his injuries.","Based on the provided data, Hüseyin Çavuş's exact narrative function cannot be determined."
Operatör Doktor,Turk,Nationalist,"Merdiven başında doktoru gördüm. Beyaz gömleği, hatta beyaz takkesi kan içinde, alnından ter taneleri akıp duruyor...",2,Operatör Doktor is a hard-working military surgeon operating on a flood of casualties in the hospital.,"The Operatör Doktor's exact narrative function cannot be determined from the provided data. The character's description, stance, and quotes are all listed as ""None."""
Sivaslı Nefer,Turk,Nationalist,Sivaslı olduğunu ve sekiz yaşında Kevser isminde kızını üç çocuğu arasında en çok sevdiğini söyledi.,2,Sivaslı Nefer is a veteran soldier from Sivas with a broken left shoulder who talks about his beloved children and military service.,The provided data offers no information regarding Sivaslı Nefer's narrative function.
Müdafaa-i Milliye Amiri,Turk,Nationalist,"Bu işkencemin en fazla olduğu bir gün beni, bizim âmir birdenbire çağırdı. Rumca bildiğimi, fotoğrafi yaptığımı duymuş olduğunu söyledi.",2,Müdafaa-i Milliye Amiri is the head officer at the Ministry of National Defense who assigns Peyami to the Western Front.,"The Müdafaa-i Milliye Amiri establishes the organized national defense, framing the narrative's wartime context."
Atlı Zabit,Turk,Nationalist,İstasyonun arkasında iki süvari ile bir atlı zâbit duruyordu. ...'inci Fırka'nın hücum tabur kumandanıymış.,2,"Atlı Zabit is the assault battalion commander of a division who gives loud, sharp orders at the train station.",The provided data is insufficient to determine Atlı Zabit's exact narrative function.
Şube Başamiri,Turk,Nationalist,"Şube baş âmiri Kumandan Paşa'nın yanında meşgulmüş, bizim çadırın kapısında durdum, bu esrar köyüne baktım.",2,"Chief of Peyami's military division, working directly with the Commander-in-Chief and Front HQ.","The provided data offers insufficient detail to determine Şube Başamiri's exact narrative function. No information on their actions, role, or impact is present."
Erkan-ı Harp Reisi,Turk,Nationalist,"Erkânıharp Reisi'nin nazik, biraz ince sesini sabaha kadar kumandanlarla telefonda konuşurken duyuyorum...",2,"The Chief of the General Staff, Erkan-ı Harp Reisi, was heard talking on the phone with commanders throughout the night.","Based on the provided data, the narrative function of Erkan-ı Harp Reisi cannot be determined as there is no descriptive information available."
Sürücüler,Turk,Nationalist,Şoförler uyumadıkları ve kumandan taşımadıkları zamanlar Xavier de Montépin'in romanını okuyorlar.,2,Sürücüler are Anatolian drivers housed in a neighboring tent who spend their free time reading French romance novels and singing.,"Based on the provided data, ""Sürücüler"" has no discernible narrative function. No information is available to determine their role."
İsmet Paşa,Turk,Nationalist,"esmer ışıkta İsmet Paşa'nın sakin uzaklara bakan başını görüyorum, bazan Başkumandan da orada.",2,"İsmet Paşa is depicted as a Turkish commander. He is observed standing quietly in the evening light, looking into the distance near the Commander-in-Chief.",He is not depicted within the novel's narrative.
İhsan'ın Amcazadesi,Turk,Nationalist,Anadolu'ya geldiğim günden beri ilk defa olarak izinle Ankara'ya hava tebdiline gidiyordum. Tabiî olarak amcazadem mebusun evine misafir oldum.,2,"İhsan'ın Amcazadesi is İhsan's cousin, a deputy of the parliament in Ankara, who hosted İhsan during his military leave.","İhsan'ın Amcazadesi functions solely as İhsan's cousin, establishing a familial relationship."
İhsan'ın Amcazadesinin Küçük Kızı Sabiha,Turk,Apolitical/unclear,"Amcazademin küçük kızı Sabiha da istasyonda bir çığlık kopardı, boynuma sarıldı.",2,"Sabiha is the young, affectionate daughter of İhsan's cousin. She embraced İhsan at the station, and her family hoped İhsan would marry her.",Establishes İhsan's familial tie.
Yüzbaşı Haydar Remzi,Turk,Nationalist,Şu Yüzbaşı Haydar Remzi yok mu?,2,"Yüzbaşı Haydar Remzi is a Turkish captain in Ankara who, after spotting İhsan with his young cousin in the gardens, spread rumors that they were engaged.","Based on the provided data, Yüzbaşı Haydar Remzi's narrative function cannot be determined."
Kolordu Seyyarının Sertabibi,Turk,Nationalist,Haymana sahnesinden üç gün sonra seyyarın sertabibi,2,"The Chief Medical Officer of the corps hospital, he receives strict orders from İhsan to recall Nurse Ayşe from the dangerous frontlines to the field hospital.",The Kolordu Seyyarının Sertabibi functions as the Chief Medical Officer for the military corps. This role facilitates the narrative's depiction of battlefield injuries and their medical management.
Alay Kumandanı Sabri,Turk,Nationalist,"...'inci Alay Kumandanı Sabri, Tabur Kumandan'ı Hayri, Ahmed Selim beyler",2,"Alay Kumandanı Sabri is a wounded regiment commander lying at the makeshift hospital, whom İhsan checks on.",The provided data offers no information on Alay Kumandanı Sabri's narrative function.
Ahmet,Turk,Nationalist,"Gidiyor Ahmed, artık üç gün sonra buralar temizlenmiş olacak.",2,"Ahmet is a wounded Turkish soldier cared for by Ayşe in her medical tent, where she reassures him of the imminent defeat of the Greek forces.",Ahmet's narrative function in Ateşten Gömlek cannot be determined from the provided data.
Genç Doktor,Turk,Apolitical/unclear,Nihayet yarım saat sonra hiçbir şeye ihtiyacı kalmayacak.,2,Genç Doktor is a Turkish military doctor who operates on the wounded at the field hospital and informs Peyami about İhsan's critical condition.,"Based on the provided data, the character's narrative function cannot be determined."
Mustafa Çavuş,Turk,Nationalist,Mustafa Çavuş biraz hastaların yanına gel.,2,Mustafa Çavuş is a sergeant who assists Ayşe with patients in her medical tent and helps move the wounded.,"Based on the provided data, Mustafa Çavuş's exact narrative function in Ateşten Gömlek cannot be determined. No descriptive information or actions are present."
