Scene ID,Broader Region,Hierarchical Name,Justification,Supporting Quote,Doubts,Latitude,Longitude
Ch11_Observation_Trench,Ankara: Polatlı,Ankara: Polatlı: Tepe Üstündeki Gözetleme Siperi,"The scene is set at an observation trench on a hill overlooking a 'Tatar village' (Tatar köyü) where the Turkish corps headquarters is stationed. Following the timeline of the Greco-Turkish War (post-Sakarya Campaign) and mentions of nearby Polatlı, Haymana, and Sincan, this region is geographically situated in the Polatlı district of Ankara province.","Burası bir Tatar köyü idi. [...] Köyün üstündeki dağ kocaman kara bir yığıntı hâlinde minimini beyaz evlerin üstüne abanmış görünüyor. [...] Zaten yukarıya, tarassuda kadar gitmek lâzım, yolda konuşuruz.","The text only refers to the setting as 'a Tatar village' (Tatar köyü) and does not explicitly name the province or district where this specific headquarters and observation trench are located, though the surrounding military campaign context (post-Sakarya battle, near Polatlı) points to the Ankara-Polatlı region.",39.58567,32.1417303
Ch11_Train_Compartment,Ankara: Sincan,Ankara: Sincan: Tren Kompartımanı,The narrator departs from Ankara by train at night. The dialogue in the train compartment and the subsequent encounter with Ayşe occur as the train passes Sincan Station and travels towards Mallı and Polatlı within the borders of Ankara province.,Ankara'dan bir gece geç vakit hareket ettim... Sincan İstasyonu'nu geçtikten sonra gençlerden biri oldukça açık bir hikâye nakletmeye başladı. Yanımda ciddî yüzlü bir arkadaş parmağını dudaklarına götürerek sükût işareti yaptıktan sonra yanımızdaki kompartımanı gösterdi...,"The scene takes place on a moving train. Sincan is the first explicitly mentioned station passed after leaving Ankara, but the journey continues through Mallı (Malıköy) and Polatlı before reaching Eskişehir, meaning the scene spans multiple districts of Ankara along the railway line.",39.9645375,32.5839944
Ch11_Village_Entrance,Ankara: Polatlı,Ankara: Polatlı: Tatar Köyü,"The chapter takes place during the Sakarya campaign of the Turkish War of Independence, specifically around November-December 1921 (indicated by '10 Kânûn-ı Evvel'). The text mentions the army positioning itself to the east of the Sakarya River, Gökçepınar (a village in Polatlı), and the district of Haymana. The Army Corps headquarters where Peyami meets İhsan is situated in a Tatar village, which contextually lies in the Polatlı/Haymana plains of Ankara where many Tatar immigrants settled and where the front lines stabilized after the Battle of Sakarya.",Burası bir Tatar köyü idi.,"The text does not explicitly name the specific Tatar village where the scene occurs, only identifying it as 'a Tatar village' in the vicinity of the active Sakarya front (near Gökçepınar and Haymana).",39.58567,32.1417303
Ch11_Village_House_Room,Ankara: Polatlı,Ankara: Polatlı: Köy Evindeki Küçük Oda,"The scene is set in a Tatar village serving as the corps headquarters during the Sakarya campaign of the Turkish War of Independence. While the specific village name is not explicitly stated in this scene, the text frequently mentions surrounding locations such as Polatlı, Haymana, Gökçepınar, and Malıköy ('Mallı'), placing the setting firmly within the Polatlı district of Ankara province, which historically contains several Tatar villages.",Burası bir Tatar köyü idi. Önlerindeki uzun teraslara kapalı pencerelerden tek tük ışıklar vuruyordu... İhsan'ı küçük köy odasında bir tahta masaya eğilmiş buldum.,"The text refers to the location only as 'a Tatar village' (bir Tatar köyü) without explicitly naming the exact village, but the surrounding geographical context of the Sakarya battlefront strongly points to the rural districts of Ankara, specifically Polatlı.",39.58567,32.1417303
Ch12_General_Hospital,Ankara: Cebeci,Ankara: Cebeci: Cebeci Hastahanesi,"The scene takes place in a hospital where the main character, Peyami, lies paralyzed and is awaiting brain surgery. In the context of Halide Edib Adıvar's novel 'Ateşten Gömlek', these diary entries are written in the Cebeci Hospital in Ankara.","Karadağ'ın içimizden, içimizin ateşinden geçen sert rüzgârı bugün hastahanede esiyor.",The text of this specific chapter mentions 'hastahane' (hospital) but does not explicitly name 'Ankara' or 'Cebeci' as the location of the hospital. This location is inferred from the overarching frame narrative of the novel.,39.9327342,32.8746726
Ch12_Karadag,Ankara: Polatlı,Ankara: Polatlı: Karadağ,"The chapter explicitly places the action during the Battle of Sakarya near Polatlı. It mentions specific locations such as Kartaltepe, Polatlı, and Karadağ, which is a strategic hill located in the Polatlı district of Ankara.","Önümüzdeki hattın sonu Polatlı'nın önündeki küçük menfeze varıyor. Sağı Kartaltepe sırtları, solu Polatlı tepeleri. Menfezin sağındaki küçük tarlayı top ateşi pamuk atar gibi atıyor... Gözlerimiz Polatlı'nın arkasından başı siyah bir ehram gibi yükselen Karadağ'ın tepesinde, oraya gideceğiz ve onu zaptedeceğiz.","None. The geographical landmarks (Polatlı, Kartaltepe, and Karadağ) clearly identify the location in the Polatlı district of Ankara.",39.58567,32.1417303
Ch12_Mobile_Hospital,Ankara: Polatlı,Ankara: Polatlı: Seyyar Hastane (Ayşe'nin Çadırı),"The chapter depicts the Battle of Sakarya, referencing landmarks like Kartaltepe, Karadağ, Polatlı, and Basri Köyü, all of which are historically and geographically located in the Polatlı district of Ankara. The mobile hospital ('seyyar') is situated in a valley right behind these active front-line ridges.","Önümüzdeki hattın sonu Polatlı'nın önündeki küçük menfeze varıyor. Sağı Kartaltepe sırtları, solu Polatlı tepeleri.","While the precise coordinate or local name of the valley where the mobile hospital tent was pitched is not explicitly specified, the narrative places it directly within the combat zone of Polatlı and Karadağ.",39.58567,32.1417303
Ch12_Regiment_Dressing_Station,Ankara: Polatlı,Ankara: Polatlı: Karadağ: Alay Sargı Mahalli,"The scene is set at the Regiment Dressing Station ('Alay sargı mahalli'), which is established in a natural pit on the way to assault Karadağ. The narrative repeatedly references Polatlı and Kartaltepe, identifying Karadağ as rising behind Polatlı. Polatlı is a historically significant district of Ankara during the Sakarya Campaign.",Önümüzde sırtın hattı bâlâsına yetişen bir yerde tabiî ve siyah kocaman bir çukur var. Ateşten nispeten masun görünüyor. Alay sargı mahalli orası. Alay kumandanı orada mevki aldı ve hakikî dağ hücumu oradan başladı.,"The text explicitly names the district 'Polatlı' and the local landmark 'Karadağ' but does not explicitly mention the province 'Ankara' itself, though it is geographically implied.",39.58567,32.1417303
Ch12_Village_Cemetery,Ankara: Polatlı,Ankara: Polatlı: Basri Köyü Mezarlığı,"The scene describes the burial of Ayşe and İhsan in a village cemetery following the Battle of Karadağ (located in Polatlı). Immediately after the burial, the narrator mentions being in a village room in Basri Köyü (Basri Village, Polatlı, Ankara) one hour later, indicating the cemetery is in or directly adjacent to Basri Köyü in the Polatlı district of Ankara.","Sabahleyin iki arabada, iki al bayrak örtülü tabut öteki şehitler arasında köyün küçük mezarlığına girdi... Bir saat sonra Basri Köyü'nde, bir köy odasında Haşmet Bey'le Cemal arasında oturuyordum.","The text states they were in Basri Köyü one hour after the burial, leaving a slight ambiguity as to whether the cemetery is directly inside Basri Köyü or a neighboring village within the same district of Polatlı, Ankara.",39.58567,32.1417303
Ch13_Cebeci_Hospital,Ankara: Cebeci,Ankara: Cebeci: Cebeci Hastahanesi,"The scene is set as two doctors walk down the road of Cebeci Hospital. The chapter explicitly concludes with 'Ankara', confirming the setting is the historic Cebeci neighborhood in Ankara.",Cebeci Hastahanesi'nin yolundan inerken iki doktor konuşuyorlardı:,None.,39.9327342,32.8746726
Ch1_Besiktas_Coast,İstanbul: Beşiktaş,İstanbul: Beşiktaş: Beşiktaş Sarayı Önü,"The narrator describes walking down from Bâb-ı Âli with Cemal and İhsan, stopping on the shoreline in front of the Beşiktaş Palace (Beşiktaş Sarayı) to watch Allied warships sail through the Bosphorus. There, they encounter an Anatolian soldier wearing a war medal.","Mütarekeden birkaç gün sonra üçümüz Bâb-ı Âli'den beraber indik... tam Beşiktaş Sarayı'nın önünde; mavi denizin üstünden azametli, kocaman demir zırhlıların geçtiğini gördük.","None. The text explicitly mentions 'Beşiktaş Sarayı' (Beşiktaş Palace) and the shoreline of the Bosphorus (Boğaziçi suları), which directly points to the Beşiktaş district in İstanbul.",41.0428465,29.0075283
Ch1_Cebeci_Hospital,Ankara: Cebeci,Ankara: Cebeci: Cebeci Hastanesi,The narrator explicitly states that he is writing and looking out from a small room in the Ankara Cebeci Hospital.,Şimdi Ankara Cebeci Hastahanesi'nin küçük bir odasından dışarıya bakıyorum.,None. The location is explicitly and clearly defined in the text.,39.9327342,32.8746726
Ch1_Mercan,İstanbul: Fatih,İstanbul: Fatih: Mercan,"The scene takes place as the characters descend the Mercan slope (Mercan Yokuşu) from the Ministry of War (Harbiyye Nezâreti, located in Beyazıt) in Istanbul. The British plane bombardment occurs during their walk down this slope.","Haydi Mercan'dan inelim Peyami, dedi. [...] ...acele etmeden açık adımlarla Mercan'a doğru inmeye başladık...","None. Mercan is a well-known historical neighborhood in the Fatih (formerly Eminönü) district of Istanbul, İstanbul.",41.0142,28.9664
Ch1_Peyamis_House_Sisli,İstanbul: Şişli,İstanbul: Şişli: Peyami's House,"The chapter clearly indicates that Peyami's mother's house and its salon, where the initial family gathering and subsequent political propaganda meetings take place, are located in the Şişli district of İstanbul.",Şişli'de bu propagandaları yapan salonların başında annemin salonu vardı.,"None. The text explicitly identifies the location of the salon as Şişli, İstanbul.",41.0637891,28.9831642
Ch2_Peyamis_House_Sisli,İstanbul: Şişli,İstanbul: Şişli: Peyami'nin Evi,"The text explicitly states that the characters return to Şişli ('Şişli'ye geldik') after attending the Sultanahmed protest, and the narrative continues in the family home where they host Salime Hanım, Mister Cook, and the officers. Additionally, Salime Hanım is mentioned as valuing Peyami's mother due to her social standing in the salons of Şişli.",Kendi memleketimizde imişiz hulyasını bir an için rüya gibi hissederek Şişli'ye geldik.,None. The geographical district (Şişli) of the home is clearly defined in both the transition of the text and the character social context.,41.0637891,28.9831642
Ch2_Sultanahmet_Ayasofya,İstanbul: Fatih,İstanbul: Fatih: Sultanahmet: German Fountain,The scene describes the characters getting off the tram at Ayasofya (Hagia Sophia) and pushing through a crowd to reach the German Fountain (Almanya İmparatoru'nun Çeşmesi) in Sultanahmet Square for the historic Sultanahmet Rally. These iconic landmarks are located in the Sultanahmet neighborhood of the Fatih district in İstanbul.,"Ayasofya'da tramvaydan inince Ayşe'nin iki tarafından kalabalığı yarmaya, insan kesafetini delmeye çok çalıştık. [...] Biz büyük bir gayretle kalabalığı yardık. Almanya İmparatoru'nun Çeşmesi'nin basamaklarına çıkmak, oradan nutukları dinlemek istiyorduk.","None. The landmarks described in the text (Ayasofya, Sultanahmet, German Fountain) are extremely well-known, unambiguous historical locations in Istanbul.",41.0082,28.9784
Ch3_Ayses_House_Gedikpasa,İstanbul: Gedikpaşa,İstanbul: Gedikpaşa: Ayşe'nin Evi,"The chapter explicitly states that Ayşe moves to a two-room house in Gedikpaşa, a well-known historic neighborhood in Istanbul, and the narrator (Peyami) regularly visits her there.",Ayşe Gedikpaşa'da iki odalı ayrı bir eve taşındı,None. The location of Gedikpaşa in Istanbul is explicitly named and central to the setting of this scene.,41.0067552,28.9656936
Ch3_Peyamis_House_Sisli,İstanbul: Şişli,İstanbul: Şişli: Peyami'nin Evi,"The scene takes place in the family home of Peyami before Ayşe moves to Gedikpaşa. The text mentions his mother's concern about losing her social status in Şişli, confirming the house is located in this district of İstanbul.","Hele Şişli hayatında mevkiini kaybetmeye, salonunun bir merkez olmadığını görmeye hiç mütehammil değildi...",None. The district of Şişli in İstanbul is explicitly linked to Peyami's family home and their social life.,41.0637891,28.9831642
Ch4_Peyamis_House_Sisli,İstanbul: Şişli,İstanbul: Şişli: Peyami's House,"The scene takes place at Peyami's house where he is bedridden with typhus. Ayşe's letter explicitly mentions that Seyfi is hesitant to come to 'Şişli' to check on him, confirming the house is located in the Şişli district of İstanbul.",Seyfi bugün karşıya geçip tahkik edecek. Fakat Şişli'ye gelmeye cesaret edemiyor.,None. The context and the explicit mention of Şişli in Ayşe's letters confirm the location of Peyami's house.,41.0637891,28.9831642
Ch4_Uskudar,İstanbul: Üsküdar,İstanbul: Üsküdar: Seyfi's House,"The chapter explicitly references Üsküdar, along with specific local landmarks and neighborhoods such as İhsaniye, Doğancılar Square (Doğancılar Meydanı), and the Üsküdar Pier (Üsküdar İskelesi). Ayşe is taken to a yellow wooden house near a cemetery in this district, where she is later found by Peyami.",Doğancılar Meydanı'ndan inerken Mülâzım Seyfi'yi gördüm. ... Mezarlıklara yakın bir yer. Siyah servilerin gölgesinde sarı tahta bir eve girdik.,"The text does not explicitly name the cemetery, but the description of cypresses and its location in Üsküdar strongly points to the famous Karacaahmet Cemetery.",41.0265498,29.0151321
Ch5_Adapazari_Road,Sakarya: Adapazarı,Sakarya: Adapazarı: Adapazarı Yolu,The text details a three-day journey starting from the villages of Kandıra (Kocaeli) towards Adapazarı. The ambush occurs in a valley near a deep stream along this route before they arrive in Adapazarı later that evening. Adapazarı is the central district of modern-day Sakarya Province.,Bundan sonra Adapazarı'na kadar süren üç günlük seyahat en canlı günler oldu... İki tarafı meyilli sırtlarla yükselen bir nevi dere içinden geçiyorduk... Hayli derin bir su geçmek üzere idik... tüfeng tarrâkası duydum.,The exact coordinate or named pass where the ambush occurs is not explicitly named; we only know it lies on the transit route between Kandıra and Adapazarı.,40.7726291,30.4038575
Ch5_Adapazari_Road_Coffeehouse,Sakarya: Adapazarı,Sakarya: Adapazarı: Adapazarı Yolu Üzerindeki Kahvehane,The characters stop at a coffeehouse located one hour away from Adapazarı. Adapazarı is the central district of the modern-day Sakarya province in Turkey.,"Adapazarı'na bir saat kala bir kahveye geldik ve şehre yaya bir arkadaş gönderdik. Burası karanlık, mustatil, küf kokulu, altı toprak bir kahvehane idi.","While the location is clearly on the road to Adapazarı and about an hour's distance away, the exact village or name of the locality where the coffeehouse stood is not explicitly named in the text.",40.7726291,30.4038575
Ch5_Geyve,Sakarya: Geyve,Sakarya: Geyve: İhsan's House,"The text explicitly states that the characters stayed as guests at İhsan's house in Geyve ('Geyve'de Ayşe ile İhsan'ın evine misafir olduk'). Geographically and historically, Geyve is a district of the Sakarya province.","Geyve'de Ayşe ile İhsan'ın evine misafir olduk, burası iki odalı bir köy evi idi.","The province of Sakarya is not explicitly named in the text, as only the district Geyve is mentioned.",40.5090547,30.2902514
Ch5_Sarilar_Village,Sakarya: Geyve,Sakarya: Geyve: Doğançay: Sarılar Village,"The text explicitly mentions 'Sarılar Köyü' (Sarılar Village) as being in 'Doğançay'. Historically and geographically, Doğançay is a village/locality situated within the Geyve district of Sakarya province.","Doğançay'daki Sarılar Köyü'nü düşünüyorum. Yanından berrak sular geçen tozlu yolları, önünde yeşil söğütlerin arkasında hastahane yapılan beyaz sıvalı küçük terasalı evi hatırlıyorum.","None. The geographical identifiers 'Doğançay' and 'Sarılar Köyü' are explicit, and their connection to the Geyve/Adapazarı (Sakarya) region is well-established in the text.",40.5090547,30.2902514
Ch5_Village_Road,Sakarya: Geyve,Sakarya: Geyve: Doğançay: Sarılar Köyü,"The scene takes place as the group departs from the village where they stayed, and where Kezban runs after them. The narrator later explicitly identifies this place as Sarılar Village (Sarılar Köyü) in Doğançay. Doğançay is a neighborhood/village located in the Geyve district of Sakarya province.","Doğançay'daki Sarılar Köyü'nü düşünüyorum. Yanından berrak sular geçen tozlu yolları, önünde yeşil söğütlerin arkasında hastahane yapılan beyaz sıvalı küçük terasalı evi hatırlıyorum.","During the Turkish War of Independence (the setting of the novel), Geyve and Adapazarı were districts/localities of the Kocaeli Sanjak, but in modern administrative geography, Geyve and Doğançay are part of the Sakarya Province.",40.5090547,30.2902514
Ch6_Ikizce,Kocaeli: Kandıra,Kocaeli: Kandıra: İkizce,The characters are on a mission near the Sakarya river and Kandıra area to retrieve hidden ammunition. A local villager informs them that Saffet Bey is hiding in Kaymaz (a village in Kandıra) and they must pass through İkizce to reach him. Both İkizce and Kaymaz are geographically situated in the Kandıra district of Kocaeli province.,"Saffet Bey, Kaymaz'da saklıdır, dedi. İkizce'yi sağ geçerseniz, onu orada bulursunuz. Haydi uğurlar olsun Ağam!","The text mentions Kandıra, Kaymaz, and İkizce, but it does not explicitly name the province 'Kocaeli' as modern administrative boundaries define it. However, historically and geographically, Kandıra is a district of Kocaeli, and Kaymaz and İkizce are well-known localities within this region.",41.0703914,30.1523298
Ch8_General_Tent,Konya,Konya: Unnamed Subdistrict: İhsan's Tent,The narrator states they are in the area to suppress the Konya rebellion ('Konya ihtilâlini bastıranlar arasındayız') and are stationed near a subdistrict center whose name he cannot recall. The scene takes place in İhsan's military tent in this region.,Konya ihtilâlini bastıranlar arasındayız. İhsan kuvvetleriyle ismini hatırlayamadığım bir nahiye merkezine yakınız.,"The exact subdistrict or village name where the tent is pitched is not explicitly provided, as the narrator openly mentions he cannot remember its name ('ismini hatırlayamadığım bir nahiye merkezine yakınız').",37.872734,32.4924376
Ch8_Ihsans_Tent,Konya,Konya: İhsan'ın Çadırı,"The narrator explicitly states that they are among the forces suppressing the Konya rebellion and are stationed near an unnamed subdistrict center in the region, where İhsan's military camp and tent are located.",Konya ihtilâlini bastıranlar arasındayız. İhsan kuvvetleriyle ismini hatırlayamadığım bir nahiye merkezine yakınız.,"The exact name of the subdistrict or village where the tent is pitched is not explicitly named, as the narrator mentions they cannot remember its name.",37.872734,32.4924376
Ch8_Town_Government_House,Konya,Konya: Unnamed Sub-district: Nahiye Hükümet Konağı ve Hapishane,"The narrator states that they are among those suppressing the Konya rebellion and are approaching a sub-district (nahiye) center near Konya, the name of which he cannot remember. The scene takes place in the government house and prison of this unnamed sub-district.",Konya ihtilâlini bastıranlar arasındayız. İhsan kuvvetleriyle ismini hatırlayamadığım bir nahiye merkezine yakınız.,"While the province is Konya, the specific district or sub-district name is not explicitly mentioned because the narrator states he cannot remember it.",37.872734,32.4924376
Ch8_Village_Square,Konya,Konya: Unidentified Subdistrict: Köyün Önündeki Yeşil Meydan,"The text explicitly states that the characters are among those suppressing the Konya rebellion and are approaching a subdistrict center near Konya, though the narrator cannot remember the exact name of the subdistrict.",Konya ihtilâlini bastıranlar arasındayız. İhsan kuvvetleriyle ismini hatırlayamadığım bir nahiye merkezine yakınız.,"The narrator explicitly notes that they cannot remember the name of the subdistrict ('ismini hatırlayamadığım bir nahiye merkezine yakınız'). While the events clearly take place in the broader Konya province during the rebellion, the exact district or village name is omitted.",37.872734,32.4924376
Ch9_Eskisehir_Hospital,Eskişehir: Merkez,Eskişehir: Merkez: Eskişehir Hastanesi,The scene is explicitly set in Eskişehir. Peyami arrives in Eskişehir by train and meets Ayşe at the hospital entrance. The letters detailing her experiences with the wounded soldiers are also explicitly titled as being written from Eskişehir ('Eskişehir'den yazılanlar').,"Ayşe'yi beyaz önlüğü, siyah baş örtüsüyle hastahane kapısında buldum.","There is no doubt that the scene takes place in Eskişehir, though the exact neighborhood/district within the city center is not specified beyond mentions of the train station and Madam Tadia's hotel.",39.7765193,30.5288805
Ch9_Madam_Tadias_Hotel,Eskişehir,Eskişehir: Madam Tadia'nın Oteli,"The chapter associates Madam Tadia's Hotel ('Tadia'nın salonu' / 'Madam Tadia'nın oteli') with Eskişehir. Peyami disembarks from the train in Eskişehir and soon after dines at Tadia's. Later, Ayşe's letters are explicitly labeled as being written from Eskişehir, where she mentions İhsan is resting at Madam Tadia's.","Eskişehir'e trenden inen kolu sargılı adam benim, değil mi? ... Gece, Tadia'nın salonunun köşesinde yemek yiyoruz.",None. The geographical connection between Madam Tadia's Hotel and Eskişehir is explicitly established in the narrative and matches the historical location of Hotel Tadia near the Eskişehir train station.,39.7743941,30.519116
Ch10_Ankara_Defense_Office,Ankara: Ulus,Ankara: Ulus: Müdafaa-i Milliye Dairesi,"The narrator states he is working at the 'Müdafaa-i Milliyye' office and subsequently leaves from 'Ankara İstasyonu' (Ankara Station). Historically, the early nationalist government offices and the train station were located in the Ulus/Altındağ area of Ankara.","Ordu Sakarya'nın bu tarafında, ben hâlâ Müdâfaa-i Milliyye'de kâğıtlar arasındayım... Müdâfaa-i Milliyye'den sarhoş gibi çıktım. Ankara İstasyonu'ndan gece dokuzda hareket ettim.",The chapter explicitly names 'Ankara' and 'Ankara İstasyonu' but does not explicitly name the district 'Ulus'. The district is inferred based on historical geography as the station and early government buildings were situated there.,39.9362064,32.8426798
